Level	Rule Name	Subject	Property	Value
ERROR	multiple_labels	ONTONEO:00000225	rdfs:label	obstetric history@en
ERROR	multiple_labels	ONTONEO:00000228	rdfs:label	cervix diameter measurement datum@en
ERROR	multiple_labels	ONTONEO:00000228	rdfs:label	medida do diâmetro do colo do útero@pt
ERROR	multiple_labels	ONTONEO:00000255	rdfs:label	gestational age measurement datum@en
ERROR	multiple_labels	ONTONEO:00000255	rdfs:label	idade gestacional medida@pt
ERROR	multiple_labels	ONTONEO:00000271	rdfs:label	parto prematuro@pt
ERROR	multiple_labels	ONTONEO:00000271	rdfs:label	preterm labour@en
ERROR	multiple_labels	PDRO:0000001	rdfs:label	health care prescription@en
ERROR	multiple_labels	PDRO:0000001	rdfs:label	prescription de santé@fr
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] 
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] 
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] 
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x) (if (Material Entity x) (exists (t) (and (TemporalRegion t) (existsAt x t))))) // axiom label in BFO2 CLIF: [011-002] 
WARN	annotation_whitespace	BFO:0000003	IAO:0000602	(forall (x) (if (Occurrent x) (exists (r) (and (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion x r))))) // axiom label in BFO2 CLIF: [108-001] 
WARN	annotation_whitespace	BFO:0000003	IAO:0000602	(forall (x) (iff (Occurrent x) (and (Entity x) (exists (y) (temporalPartOf y x))))) // axiom label in BFO2 CLIF: [079-001] 
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(forall (x t) (if (IndependentContinuant x) (exists (r) (and (SpatialRegion r) (locatedInAt x r t))))) // axiom label in BFO2 CLIF: [134-001] 
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(forall (x t) (if (and (IndependentContinuant x) (existsAt x t)) (exists (y) (and (Entity y) (specificallyDependsOnAt y x t))))) // axiom label in BFO2 CLIF: [018-002] 
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(iff (IndependentContinuant a) (and (Continuant a) (not (exists (b t) (specificallyDependsOnAt a b t))))) // axiom label in BFO2 CLIF: [017-002] 
WARN	annotation_whitespace	BFO:0000006	IAO:0000602	(forall (x y t) (if (and (SpatialRegion x) (continuantPartOfAt y x t)) (SpatialRegion y))) // axiom label in BFO2 CLIF: [036-001] 
WARN	annotation_whitespace	BFO:0000006	IAO:0000602	(forall (x) (if (SpatialRegion x) (Continuant x))) // axiom label in BFO2 CLIF: [035-001] 
WARN	annotation_whitespace	BFO:0000008	IAO:0000602	(forall (r) (if (TemporalRegion r) (occupiesTemporalRegion r r))) // axiom label in BFO2 CLIF: [119-002] 
WARN	annotation_whitespace	BFO:0000008	IAO:0000602	(forall (x y) (if (and (TemporalRegion x) (occurrentPartOf y x)) (TemporalRegion y))) // axiom label in BFO2 CLIF: [101-001] 
WARN	annotation_whitespace	BFO:0000008	IAO:0000602	(forall (x) (if (TemporalRegion x) (Occurrent x))) // axiom label in BFO2 CLIF: [100-001] 
WARN	annotation_whitespace	BFO:0000009	IAO:0000602	(forall (x) (if (TwoDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [039-001] 
WARN	annotation_whitespace	BFO:0000011	IAO:0000602	(forall (r) (if (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion r r))) // axiom label in BFO2 CLIF: [107-002] 
WARN	annotation_whitespace	BFO:0000011	IAO:0000602	(forall (x t) (if (SpatioTemporalRegion x) (exists (y) (and (SpatialRegion y) (spatiallyProjectsOntoAt x y t))))) // axiom label in BFO2 CLIF: [099-001] 
WARN	annotation_whitespace	BFO:0000011	IAO:0000602	(forall (x y) (if (and (SpatioTemporalRegion x) (occurrentPartOf y x)) (SpatioTemporalRegion y))) // axiom label in BFO2 CLIF: [096-001] 
WARN	annotation_whitespace	BFO:0000011	IAO:0000602	(forall (x) (if (SpatioTemporalRegion x) (Occurrent x))) // axiom label in BFO2 CLIF: [095-001] 
WARN	annotation_whitespace	BFO:0000011	IAO:0000602	(forall (x) (if (SpatioTemporalRegion x) (exists (y) (and (TemporalRegion y) (temporallyProjectsOnto x y))))) // axiom label in BFO2 CLIF: [098-001] 
WARN	annotation_whitespace	BFO:0000015	IAO:0000602	(iff (Process a) (and (Occurrent a) (exists (b) (properTemporalPartOf b a)) (exists (c t) (and (MaterialEntity c) (specificallyDependsOnAt a c t))))) // axiom label in BFO2 CLIF: [083-003] 
WARN	annotation_whitespace	BFO:0000016	IAO:0000602	(forall (x t) (if (and (RealizableEntity x) (existsAt x t)) (exists (y) (and (MaterialEntity y) (specificallyDepends x y t))))) // axiom label in BFO2 CLIF: [063-002] 
WARN	annotation_whitespace	BFO:0000016	IAO:0000602	(forall (x) (if (Disposition x) (and (RealizableEntity x) (exists (y) (and (MaterialEntity y) (bearerOfAt x y t)))))) // axiom label in BFO2 CLIF: [062-002] 
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 
WARN	annotation_whitespace	BFO:0000018	IAO:0000602	(forall (x) (if (ZeroDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [037-001] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (Quality x) (SpecificallyDependentContinuant x))) // axiom label in BFO2 CLIF: [055-001] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (exists (t) (and (existsAt x t) (Quality x))) (forall (t_1) (if (existsAt x t_1) (Quality x))))) // axiom label in BFO2 CLIF: [105-001] 
WARN	annotation_whitespace	BFO:0000020	IAO:0000602	(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] 
WARN	annotation_whitespace	BFO:0000023	IAO:0000602	(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] 
WARN	annotation_whitespace	BFO:0000024	IAO:0000602	(forall (x) (if (FiatObjectPart x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y) (and (Object y) (properContinuantPartOfAt x y t)))))))) // axiom label in BFO2 CLIF: [027-004] 
WARN	annotation_whitespace	BFO:0000026	IAO:0000602	(forall (x) (if (OneDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [038-001] 
WARN	annotation_whitespace	BFO:0000027	IAO:0000116	An entity a is an object aggregate if and only if there is a mutually exhaustive and pairwise disjoint partition of a into objects 
WARN	annotation_whitespace	BFO:0000027	IAO:0000602	(forall (x) (if (ObjectAggregate x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y z) (and (Object y) (Object z) (memberPartOfAt y x t) (memberPartOfAt z x t) (not (= y z)))))) (not (exists (w t_1) (and (memberPartOfAt w x t_1) (not (Object w)))))))) // axiom label in BFO2 CLIF: [025-004] 
WARN	annotation_whitespace	BFO:0000028	IAO:0000602	(forall (x) (if (ThreeDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [040-001] 
WARN	annotation_whitespace	BFO:0000029	IAO:0000602	(forall (x) (if (Site x) (ImmaterialEntity x))) // axiom label in BFO2 CLIF: [034-002] 
WARN	annotation_whitespace	BFO:0000031	IAO:0000602	(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] 
WARN	annotation_whitespace	BFO:0000034	IAO:0000602	(forall (x) (if (Function x) (Disposition x))) // axiom label in BFO2 CLIF: [064-001] 
WARN	annotation_whitespace	BFO:0000035	IAO:0000602	(forall (x) (if (ProcessBoundary x) (exists (y) (and (ZeroDimensionalTemporalRegion y) (occupiesTemporalRegion x y))))) // axiom label in BFO2 CLIF: [085-002] 
WARN	annotation_whitespace	BFO:0000035	IAO:0000602	(iff (ProcessBoundary a) (exists (p) (and (Process p) (temporalPartOf a p) (not (exists (b) (properTemporalPartOf b a)))))) // axiom label in BFO2 CLIF: [084-001] 
WARN	annotation_whitespace	BFO:0000038	IAO:0000602	(forall (x) (if (OneDimensionalTemporalRegion x) (TemporalRegion x))) // axiom label in BFO2 CLIF: [103-001] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (MaterialEntity x) (IndependentContinuant x))) // axiom label in BFO2 CLIF: [019-002] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt x y t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [021-002] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt y x t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [020-002] 
WARN	annotation_whitespace	BFO:0000140	IAO:0000602	(iff (ContinuantFiatBoundary a) (and (ImmaterialEntity a) (exists (b) (and (or (ZeroDimensionalSpatialRegion b) (OneDimensionalSpatialRegion b) (TwoDimensionalSpatialRegion b)) (forall (t) (locatedInAt a b t)))) (not (exists (c t) (and (SpatialRegion c) (continuantPartOfAt c a t)))))) // axiom label in BFO2 CLIF: [029-001] 
WARN	annotation_whitespace	BFO:0000142	IAO:0000602	(iff (OneDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (OneDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [032-001] 
WARN	annotation_whitespace	BFO:0000144	IAO:0000602	(forall (x y) (if (processProfileOf x y) (and (properContinuantPartOf x y) (exists (z t) (and (properOccurrentPartOf z y) (TemporalRegion t) (occupiesSpatioTemporalRegion x t) (occupiesSpatioTemporalRegion y t) (occupiesSpatioTemporalRegion z t) (not (exists (w) (and (occurrentPartOf w x) (occurrentPartOf w z))))))))) // axiom label in BFO2 CLIF: [094-005] 
WARN	annotation_whitespace	BFO:0000144	IAO:0000602	(iff (ProcessProfile a) (exists (b) (and (Process b) (processProfileOf a b)))) // axiom label in BFO2 CLIF: [093-002] 
WARN	annotation_whitespace	BFO:0000145	IAO:0000602	(iff (RelationalQuality a) (exists (b c t) (and (IndependentContinuant b) (IndependentContinuant c) (qualityOfAt a b t) (qualityOfAt a c t)))) // axiom label in BFO2 CLIF: [057-001] 
WARN	annotation_whitespace	BFO:0000146	IAO:0000602	(iff (TwoDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (TwoDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [033-001] 
WARN	annotation_whitespace	BFO:0000147	IAO:0000602	(iff (ZeroDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (ZeroDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [031-001] 
WARN	annotation_whitespace	BFO:0000148	IAO:0000602	(forall (x) (if (ZeroDimensionalTemporalRegion x) (TemporalRegion x))) // axiom label in BFO2 CLIF: [102-001] 
WARN	annotation_whitespace	EUPATH:0000002	IAO:0000119	 http://en.wikipedia.org/wiki/Dwelling
WARN	annotation_whitespace	EUPATH:0000002	IAO:0000119	Penn Group 
WARN	annotation_whitespace	EUPATH:0000015	IAO:0000119	 http://en.wikipedia.org/wiki/Eaves
WARN	annotation_whitespace	EUPATH:0000015	IAO:0000119	Penn Group 
WARN	annotation_whitespace	EUPATH:0000024	IAO:0000119	 PRISM
WARN	annotation_whitespace	EUPATH:0000024	IAO:0000119	Penn Group 
WARN	annotation_whitespace	EUPATH:0000030	IAO:0000119	 Person: Chris Stoeckert
WARN	annotation_whitespace	EUPATH:0000030	IAO:0000119	Penn Group 
WARN	annotation_whitespace	EUPATH:0000057	IAO:0000112	 blood used in transfusion for replacement blood lost during surgery or due to a serious injury.
WARN	annotation_whitespace	EUPATH:0000057	IAO:0000112	quinine used in malaria medication 
WARN	annotation_whitespace	EUPATH:0000063	IAO:0000118	 artemether-lumefantrine
WARN	annotation_whitespace	EUPATH:0000063	IAO:0000118	coartem 
WARN	annotation_whitespace	EUPATH:0000063	IAO:0000119	 http://en.wikipedia.org/wiki/Artemether/lumefantrine
WARN	annotation_whitespace	EUPATH:0000063	IAO:0000119	PRISM 
WARN	annotation_whitespace	EUPATH:0000127	IAO:0000117	 Chris Stoeckert
WARN	annotation_whitespace	EUPATH:0000127	IAO:0000117	Jie Zheng 
WARN	annotation_whitespace	EUPATH:0000129	IAO:0000118	 RBC specimen
WARN	annotation_whitespace	EUPATH:0000129	IAO:0000118	erythrocyte specimen 
WARN	annotation_whitespace	EUPATH:0000294	IAO:0000116	 Shannon Takala Harrison:  Also not sure about LF, it could either be late failure or lost to follow-up. 
WARN	annotation_whitespace	EUPATH:0000294	IAO:0000116	 Term need for annotation NIH-10K experiment, treatment outcome
WARN	annotation_whitespace	EUPATH:0000294	IAO:0000116	was in EuPathDB/PlasmoDB, no longer used 
WARN	annotation_whitespace	EUPATH:0000295	IAO:0000116	 Shannon Takala Harrison: LOSS probably also means the patient was lost to follow-up. 
WARN	annotation_whitespace	EUPATH:0000295	IAO:0000116	 Term need for annotation NIH-10K experiment, treatment outcome
WARN	annotation_whitespace	EUPATH:0000295	IAO:0000116	no longer used 
WARN	annotation_whitespace	EUPATH:0000298	IAO:0000116	 Shannon Takala Harrison: Not sure what NULL means; it could also indicate lost to follow-up. 
WARN	annotation_whitespace	EUPATH:0000298	IAO:0000116	 Term need for annotation NIH-10K experiment, treatment outcome
WARN	annotation_whitespace	EUPATH:0000298	IAO:0000116	was EuPathDB/PlasmoDB term, no longer used 
WARN	annotation_whitespace	EUPATH:0000362	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000362	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000363	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000363	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000375	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000375	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000409	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000409	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000410	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000410	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000412	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000412	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000417	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000417	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000428	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000428	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000496	IAO:0000119	 Person: Daniel Beiting, Jie Zheng
WARN	annotation_whitespace	EUPATH:0000496	IAO:0000119	microbiome 
WARN	annotation_whitespace	EUPATH:0000580	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000580	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000583	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000583	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000588	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000588	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000592	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000592	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0000599	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0000599	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010153	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010153	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010579	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010579	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010580	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010580	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010581	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010581	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010583	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010583	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010588	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010588	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010590	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010590	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010591	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010591	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0010592	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0010592	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021031	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021031	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021044	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021044	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021045	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021045	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021047	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021047	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021056	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021056	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021060	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021060	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021066	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021066	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021083	IAO:0000117	 Chris Stoeckert
WARN	annotation_whitespace	EUPATH:0021083	IAO:0000117	Jie Zheng 
WARN	annotation_whitespace	EUPATH:0021088	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021088	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021089	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021089	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021090	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021090	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0021096	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0021096	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0022053	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0022053	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023012	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023012	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023013	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023013	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023024	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023024	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023026	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023026	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023027	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023027	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023040	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023040	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023045	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023045	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023046	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023046	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023056	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023056	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0023057	IAO:0000117	 Jie Zheng
WARN	annotation_whitespace	EUPATH:0023057	IAO:0000117	Chris Stoeckert 
WARN	annotation_whitespace	EUPATH:0043006	IAO:0000119	 IRO:0000031
WARN	annotation_whitespace	EUPATH:0043006	IAO:0000119	Cire. N. J. agrie. Exp. Stn. 1942 No.421 pp.8 
WARN	annotation_whitespace	EUPATH:0043008	IAO:0000118	 EVS light trap
WARN	annotation_whitespace	EUPATH:0043008	IAO:0000118	EVS trap catch 
WARN	annotation_whitespace	EUPATH:0043008	IAO:0000119	 IRO:0000029
WARN	annotation_whitespace	EUPATH:0043008	IAO:0000119	VSMO:0001295 
WARN	annotation_whitespace	EUPATH:0043011	IAO:0000119	 VSMO:0001906
WARN	annotation_whitespace	EUPATH:0043011	IAO:0000119	IRO:0000028 
WARN	annotation_whitespace	EUPATH:0043013	IAO:0000119	 IRO:0000154
WARN	annotation_whitespace	EUPATH:0043013	IAO:0000119	Parasites Vectors 8, 239 (2015) 
WARN	annotation_whitespace	EUPATH:0043014	IAO:0000119	 IRO:0000021
WARN	annotation_whitespace	EUPATH:0043014	IAO:0000119	Proceedings of the Eighty-Second Annual Meeting of the New Jersey Mosquito Control Association, Inc. 1989, pp 53-57. 
WARN	annotation_whitespace	EUPATH:0043015	IAO:0000119	 IRO:0000191
WARN	annotation_whitespace	EUPATH:0043015	IAO:0000119	The American Journal of Tropical Medicine and Hygiene, Volume s1-19, Issue 2, 1 Mar 1939, p. 131 - 140 
WARN	annotation_whitespace	EUPATH:0043018	IAO:0000119	 IRO:0000141
WARN	annotation_whitespace	EUPATH:0043018	IAO:0000119	Kreppel et al. Parasites & Vectors  (2015) 8:462 
WARN	annotation_whitespace	EUPATH:0043020	IAO:0000119	 IRO:0000014
WARN	annotation_whitespace	EUPATH:0043020	IAO:0000119	38th Report East Malling Research Station 1949-50 , 1951, p.148 
WARN	annotation_whitespace	EUPATH:0043030	IAO:0000118	 ovitrap catch
WARN	annotation_whitespace	EUPATH:0043030	IAO:0000118	oviposition trap 
WARN	annotation_whitespace	EUPATH:0043030	IAO:0000119	 MIRO:30000016
WARN	annotation_whitespace	EUPATH:0043030	IAO:0000119	VSMO:0001501 
WARN	annotation_whitespace	EUPATH:0043036	IAO:0000119	 MIRO:30000020
WARN	annotation_whitespace	EUPATH:0043036	IAO:0000119	Bull World Health Organ. 1948; 1(2): 253–296. 
WARN	annotation_whitespace	EUPATH:0043042	IAO:0000118	 collection of arthropods
