s,type,label
http://purl.obolibrary.org/obo/DOID_1074,http://www.w3.org/2002/07/owl#Class,kidney failure
http://purl.obolibrary.org/obo/DOID_10754,http://www.w3.org/2002/07/owl#Class,otitis media
http://purl.obolibrary.org/obo/DOID_10854,http://www.w3.org/2002/07/owl#Class,salivary gland disease
http://purl.obolibrary.org/obo/DOID_10883,http://www.w3.org/2002/07/owl#Class,herpangina
http://purl.obolibrary.org/obo/DOID_1091,http://www.w3.org/2002/07/owl#Class,tooth disease
http://purl.obolibrary.org/obo/DOID_11162,http://www.w3.org/2002/07/owl#Class,respiratory failure
http://purl.obolibrary.org/obo/DOID_11338,http://www.w3.org/2002/07/owl#Class,tetanus
http://purl.obolibrary.org/obo/DOID_11394,http://www.w3.org/2002/07/owl#Class,adult respiratory distress syndrome
http://purl.obolibrary.org/obo/DOID_1176,http://www.w3.org/2002/07/owl#Class,bronchial disease
http://purl.obolibrary.org/obo/DOID_1227,http://www.w3.org/2002/07/owl#Class,neutropenia
http://purl.obolibrary.org/obo/DOID_12328,http://www.w3.org/2002/07/owl#Class,marasmus
http://purl.obolibrary.org/obo/DOID_12365,http://www.w3.org/2002/07/owl#Class,malaria
http://purl.obolibrary.org/obo/DOID_12384,http://www.w3.org/2002/07/owl#Class,dysentery
http://purl.obolibrary.org/obo/DOID_1285,http://www.w3.org/2002/07/owl#Class,rectal disease
http://purl.obolibrary.org/obo/DOID_13117,http://www.w3.org/2002/07/owl#Class,paronychia
http://purl.obolibrary.org/obo/DOID_13148,http://www.w3.org/2002/07/owl#Class,acute cystitis
http://purl.obolibrary.org/obo/DOID_13250,http://www.w3.org/2002/07/owl#Class,diarrhea
http://purl.obolibrary.org/obo/DOID_13258,http://www.w3.org/2002/07/owl#Class,typhoid fever
http://purl.obolibrary.org/obo/DOID_1398,http://www.w3.org/2002/07/owl#Class,parasitic infectious disease
http://purl.obolibrary.org/obo/DOID_14069,http://www.w3.org/2002/07/owl#Class,cerebral malaria
http://purl.obolibrary.org/obo/DOID_1456,http://www.w3.org/2002/07/owl#Class,glossitis
http://purl.obolibrary.org/obo/DOID_1492,http://www.w3.org/2002/07/owl#Class,eye and adnexa disease
http://purl.obolibrary.org/obo/DOID_1498,http://www.w3.org/2002/07/owl#Class,cholera
http://purl.obolibrary.org/obo/DOID_1508,http://www.w3.org/2002/07/owl#Class,candidiasis
http://purl.obolibrary.org/obo/DOID_1555,http://www.w3.org/2002/07/owl#Class,urticaria
http://purl.obolibrary.org/obo/DOID_1564,http://www.w3.org/2002/07/owl#Class,fungal infectious disease
http://purl.obolibrary.org/obo/DOID_1575,http://www.w3.org/2002/07/owl#Class,rheumatic disease
http://purl.obolibrary.org/obo/DOID_1579,http://www.w3.org/2002/07/owl#Class,respiratory system disease
http://purl.obolibrary.org/obo/DOID_16,http://www.w3.org/2002/07/owl#Class,integumentary system disease
http://purl.obolibrary.org/obo/DOID_1602,http://www.w3.org/2002/07/owl#Class,lymphadenitis
http://purl.obolibrary.org/obo/DOID_17,http://www.w3.org/2002/07/owl#Class,musculoskeletal system disease
http://purl.obolibrary.org/obo/DOID_18,http://www.w3.org/2002/07/owl#Class,urinary system disease
http://purl.obolibrary.org/obo/DOID_2089,http://www.w3.org/2002/07/owl#Class,constipation
http://purl.obolibrary.org/obo/DOID_216,http://www.w3.org/2002/07/owl#Class,dental caries
http://purl.obolibrary.org/obo/DOID_2176,http://www.w3.org/2002/07/owl#Class,carbuncle
http://purl.obolibrary.org/obo/DOID_2275,http://www.w3.org/2002/07/owl#Class,pharyngitis
http://purl.obolibrary.org/obo/DOID_2321,http://www.w3.org/2002/07/owl#Class,dyspepsia
http://purl.obolibrary.org/obo/DOID_2326,http://www.w3.org/2002/07/owl#Class,gastroenteritis
http://purl.obolibrary.org/obo/DOID_2355,http://www.w3.org/2002/07/owl#Class,anemia
http://purl.obolibrary.org/obo/DOID_2473,http://www.w3.org/2002/07/owl#Class,opportunistic mycosis
http://purl.obolibrary.org/obo/DOID_26,http://www.w3.org/2002/07/owl#Class,pancreas disease
http://purl.obolibrary.org/obo/DOID_2723,http://www.w3.org/2002/07/owl#Class,dermatitis
http://purl.obolibrary.org/obo/DOID_2742,http://www.w3.org/2002/07/owl#Class,auditory system disease
http://purl.obolibrary.org/obo/DOID_2789,http://www.w3.org/2002/07/owl#Class,parasitic protozoa infectious disease
http://purl.obolibrary.org/obo/DOID_2841,http://www.w3.org/2002/07/owl#Class,asthma
http://purl.obolibrary.org/obo/DOID_2914,http://www.w3.org/2002/07/owl#Class,immune system disease
http://purl.obolibrary.org/obo/DOID_2942,http://www.w3.org/2002/07/owl#Class,bronchiolitis
http://purl.obolibrary.org/obo/DOID_3087,http://www.w3.org/2002/07/owl#Class,gingivitis
http://purl.obolibrary.org/obo/DOID_3128,http://www.w3.org/2002/07/owl#Class,anus disease
http://purl.obolibrary.org/obo/DOID_3342,http://www.w3.org/2002/07/owl#Class,bone inflammation disease
http://purl.obolibrary.org/obo/DOID_3388,http://www.w3.org/2002/07/owl#Class,periodontal disease
http://purl.obolibrary.org/obo/DOID_3488,http://www.w3.org/2002/07/owl#Class,cellulitis
http://purl.obolibrary.org/obo/DOID_37,http://www.w3.org/2002/07/owl#Class,skin disease
http://purl.obolibrary.org/obo/DOID_4,http://www.w3.org/2002/07/owl#Class,disease
http://purl.obolibrary.org/obo/DOID_403,http://www.w3.org/2002/07/owl#Class,mouth disease
http://purl.obolibrary.org/obo/DOID_4223,http://www.w3.org/2002/07/owl#Class,pyoderma
http://purl.obolibrary.org/obo/DOID_4337,http://www.w3.org/2002/07/owl#Class,tinea capitis
http://purl.obolibrary.org/obo/DOID_4409,http://www.w3.org/2002/07/owl#Class,folliculitis
http://purl.obolibrary.org/obo/DOID_4481,http://www.w3.org/2002/07/owl#Class,allergic rhinitis
http://purl.obolibrary.org/obo/DOID_4989,http://www.w3.org/2002/07/owl#Class,pancreatitis
http://purl.obolibrary.org/obo/DOID_5100,http://www.w3.org/2002/07/owl#Class,middle ear disease
http://purl.obolibrary.org/obo/DOID_5295,http://www.w3.org/2002/07/owl#Class,intestinal disease
http://purl.obolibrary.org/obo/DOID_5330,http://www.w3.org/2002/07/owl#Class,dental pulp disease
http://purl.obolibrary.org/obo/DOID_552,http://www.w3.org/2002/07/owl#Class,pneumonia
http://purl.obolibrary.org/obo/DOID_5614,http://www.w3.org/2002/07/owl#Class,eye disease
http://purl.obolibrary.org/obo/DOID_6195,http://www.w3.org/2002/07/owl#Class,conjunctivitis
http://purl.obolibrary.org/obo/DOID_6196,http://www.w3.org/2002/07/owl#Class,reactive arthritis
http://purl.obolibrary.org/obo/DOID_65,http://www.w3.org/2002/07/owl#Class,connective tissue disease
http://purl.obolibrary.org/obo/DOID_7,http://www.w3.org/2002/07/owl#Class,disease of anatomical entity
http://purl.obolibrary.org/obo/DOID_74,http://www.w3.org/2002/07/owl#Class,hematopoietic system disease
http://purl.obolibrary.org/obo/DOID_750,http://www.w3.org/2002/07/owl#Class,peptic ulcer disease
http://purl.obolibrary.org/obo/DOID_77,http://www.w3.org/2002/07/owl#Class,gastrointestinal system disease
http://purl.obolibrary.org/obo/DOID_824,http://www.w3.org/2002/07/owl#Class,periodontitis
http://purl.obolibrary.org/obo/DOID_8295,http://www.w3.org/2002/07/owl#Class,scabies
http://purl.obolibrary.org/obo/DOID_848,http://www.w3.org/2002/07/owl#Class,arthritis
http://purl.obolibrary.org/obo/DOID_850,http://www.w3.org/2002/07/owl#Class,lung disease
http://purl.obolibrary.org/obo/DOID_8504,http://www.w3.org/2002/07/owl#Class,impetigo
http://purl.obolibrary.org/obo/DOID_8506,http://www.w3.org/2002/07/owl#Class,bullous pemphigoid
http://purl.obolibrary.org/obo/DOID_8536,http://www.w3.org/2002/07/owl#Class,herpes zoster
http://purl.obolibrary.org/obo/DOID_8566,http://www.w3.org/2002/07/owl#Class,herpes simplex
http://purl.obolibrary.org/obo/DOID_8622,http://www.w3.org/2002/07/owl#Class,measles
http://purl.obolibrary.org/obo/DOID_863,http://www.w3.org/2002/07/owl#Class,nervous system disease
http://purl.obolibrary.org/obo/DOID_8659,http://www.w3.org/2002/07/owl#Class,chickenpox
http://purl.obolibrary.org/obo/DOID_8672,http://www.w3.org/2002/07/owl#Class,viral exanthem
http://purl.obolibrary.org/obo/DOID_876,http://www.w3.org/2002/07/owl#Class,pyomyositis
http://purl.obolibrary.org/obo/DOID_883,http://www.w3.org/2002/07/owl#Class,parasitic helminthiasis infectious disease
http://purl.obolibrary.org/obo/DOID_9065,http://www.w3.org/2002/07/owl#Class,leishmaniasis
http://purl.obolibrary.org/obo/DOID_9111,http://www.w3.org/2002/07/owl#Class,cutaneous leishmaniasis
http://purl.obolibrary.org/obo/DOID_9146,http://www.w3.org/2002/07/owl#Class,visceral leishmaniasis
http://purl.obolibrary.org/obo/DOID_9181,http://www.w3.org/2002/07/owl#Class,amebiasis
http://purl.obolibrary.org/obo/DOID_9307,http://www.w3.org/2002/07/owl#Class,rectal prolapse
http://purl.obolibrary.org/obo/DOID_934,http://www.w3.org/2002/07/owl#Class,viral infectious disease
http://purl.obolibrary.org/obo/DOID_9368,http://www.w3.org/2002/07/owl#Class,keratoconjunctivitis
http://purl.obolibrary.org/obo/DOID_9463,http://www.w3.org/2002/07/owl#Class,otitis externa
http://purl.obolibrary.org/obo/DOID_9471,http://www.w3.org/2002/07/owl#Class,meningitis
http://purl.obolibrary.org/obo/DOID_9663,http://www.w3.org/2002/07/owl#Class,aphthous stomatitis
http://purl.obolibrary.org/obo/DOID_974,http://www.w3.org/2002/07/owl#Class,upper respiratory tract disease
http://purl.obolibrary.org/obo/DOID_9909,http://www.w3.org/2002/07/owl#Class,hordeolum
http://purl.obolibrary.org/obo/DOID_9993,http://www.w3.org/2002/07/owl#Class,hypoglycemia
http://purl.obolibrary.org/obo/DRON_00000001,http://www.w3.org/2002/07/owl#Class,clinical drug role
http://purl.obolibrary.org/obo/DRON_00000005,http://www.w3.org/2002/07/owl#Class,drug product
http://purl.obolibrary.org/obo/DRON_00017631,http://www.w3.org/2002/07/owl#Class,artemether
http://purl.obolibrary.org/obo/DRON_00019223,http://www.w3.org/2002/07/owl#Class,lumefantrine
http://purl.obolibrary.org/obo/DRON_00021246,http://www.w3.org/2002/07/owl#Class,Chloroquine Injectable Solution
http://purl.obolibrary.org/obo/DRON_00021247,http://www.w3.org/2002/07/owl#Class,Chloroquine Oral Tablet
http://purl.obolibrary.org/obo/ENVO_00000000,http://www.w3.org/2002/07/owl#Class,geographic feature
http://purl.obolibrary.org/obo/ENVO_00000002,http://www.w3.org/2002/07/owl#Class,anthropogenic geographic feature
http://purl.obolibrary.org/obo/ENVO_00000012,http://www.w3.org/2002/07/owl#Class,hydrographic feature
http://purl.obolibrary.org/obo/ENVO_00000014,http://www.w3.org/2002/07/owl#Class,canal
http://purl.obolibrary.org/obo/ENVO_00000016,http://www.w3.org/2002/07/owl#Class,sea
http://purl.obolibrary.org/obo/ENVO_00000020,http://www.w3.org/2002/07/owl#Class,lake
http://purl.obolibrary.org/obo/ENVO_00000022,http://www.w3.org/2002/07/owl#Class,river
http://purl.obolibrary.org/obo/ENVO_00000023,http://www.w3.org/2002/07/owl#Class,stream
http://purl.obolibrary.org/obo/ENVO_00000025,http://www.w3.org/2002/07/owl#Class,reservoir
http://purl.obolibrary.org/obo/ENVO_00000027,http://www.w3.org/2002/07/owl#Class,spring
http://purl.obolibrary.org/obo/ENVO_00000029,http://www.w3.org/2002/07/owl#Class,watercourse
http://purl.obolibrary.org/obo/ENVO_00000033,http://www.w3.org/2002/07/owl#Class,pond
http://purl.obolibrary.org/obo/ENVO_00000035,http://www.w3.org/2002/07/owl#Class,marsh
http://purl.obolibrary.org/obo/ENVO_00000051,http://www.w3.org/2002/07/owl#Class,hot spring
http://purl.obolibrary.org/obo/ENVO_00000056,http://www.w3.org/2002/07/owl#Class,fishpond
http://purl.obolibrary.org/obo/ENVO_00000063,http://www.w3.org/2002/07/owl#Class,water body
http://purl.obolibrary.org/obo/ENVO_00000067,http://www.w3.org/2002/07/owl#Class,cave
http://purl.obolibrary.org/obo/ENVO_00000070,http://www.w3.org/2002/07/owl#Class,construction
http://purl.obolibrary.org/obo/ENVO_00000073,http://www.w3.org/2002/07/owl#Class,building
http://purl.obolibrary.org/obo/ENVO_00000078,http://www.w3.org/2002/07/owl#Class,farm
http://purl.obolibrary.org/obo/ENVO_00000081,http://www.w3.org/2002/07/owl#Class,mountain
http://purl.obolibrary.org/obo/ENVO_00000098,http://www.w3.org/2002/07/owl#Class,island
http://purl.obolibrary.org/obo/ENVO_00000111,http://www.w3.org/2002/07/owl#Class,forested area
http://purl.obolibrary.org/obo/ENVO_00000176,http://www.w3.org/2002/07/owl#Class,elevation
http://purl.obolibrary.org/obo/ENVO_00000182,http://www.w3.org/2002/07/owl#Class,plateau
http://purl.obolibrary.org/obo/ENVO_00000191,http://www.w3.org/2002/07/owl#Class,solid landform
http://purl.obolibrary.org/obo/ENVO_00000233,http://www.w3.org/2002/07/owl#Class,swamp ecosystem
http://purl.obolibrary.org/obo/ENVO_00000296,http://www.w3.org/2002/07/owl#Class,rice field
http://purl.obolibrary.org/obo/ENVO_00000330,http://www.w3.org/2002/07/owl#Class,stalagmite
http://purl.obolibrary.org/obo/ENVO_00000377,http://www.w3.org/2002/07/owl#Class,artificial lake
http://purl.obolibrary.org/obo/ENVO_00000428,http://www.w3.org/2002/07/owl#Class,biome
http://purl.obolibrary.org/obo/ENVO_00000449,http://www.w3.org/2002/07/owl#Class,drinking water reservoir
http://purl.obolibrary.org/obo/ENVO_00000486,http://www.w3.org/2002/07/owl#Class,shoreline
http://purl.obolibrary.org/obo/ENVO_00000501,http://www.w3.org/2002/07/owl#Class,bed
http://purl.obolibrary.org/obo/ENVO_00000856,http://www.w3.org/2002/07/owl#Class,city
http://purl.obolibrary.org/obo/ENVO_00001995,http://www.w3.org/2002/07/owl#Class,rock
http://purl.obolibrary.org/obo/ENVO_00001998,http://www.w3.org/2002/07/owl#Class,soil
http://purl.obolibrary.org/obo/ENVO_00002001,http://www.w3.org/2002/07/owl#Class,waste water
http://purl.obolibrary.org/obo/ENVO_00002003,http://www.w3.org/2002/07/owl#Class,fecal material
http://purl.obolibrary.org/obo/ENVO_00002006,http://www.w3.org/2002/07/owl#Class,water
http://purl.obolibrary.org/obo/ENVO_00002007,http://www.w3.org/2002/07/owl#Class,sediment
http://purl.obolibrary.org/obo/ENVO_00002008,http://www.w3.org/2002/07/owl#Class,dust
http://purl.obolibrary.org/obo/ENVO_00002010,http://www.w3.org/2002/07/owl#Class,saline water
http://purl.obolibrary.org/obo/ENVO_00002011,http://www.w3.org/2002/07/owl#Class,fresh water
http://purl.obolibrary.org/obo/ENVO_00002018,http://www.w3.org/2002/07/owl#Class,sewage
http://purl.obolibrary.org/obo/ENVO_00002034,http://www.w3.org/2002/07/owl#Class,biofilm
http://purl.obolibrary.org/obo/ENVO_00002040,http://www.w3.org/2002/07/owl#Class,wood
http://purl.obolibrary.org/obo/ENVO_00002042,http://www.w3.org/2002/07/owl#Class,surface water
http://purl.obolibrary.org/obo/ENVO_00002043,http://www.w3.org/2002/07/owl#Class,wastewater treatment plant
http://purl.obolibrary.org/obo/ENVO_00002044,http://www.w3.org/2002/07/owl#Class,sludge
http://purl.obolibrary.org/obo/ENVO_00002138,http://www.w3.org/2002/07/owl#Class,beach sand
http://purl.obolibrary.org/obo/ENVO_00002170,http://www.w3.org/2002/07/owl#Class,compost
http://purl.obolibrary.org/obo/ENVO_00002173,http://www.w3.org/2002/07/owl#Class,hospital
http://purl.obolibrary.org/obo/ENVO_00002228,http://www.w3.org/2002/07/owl#Class,pond water
http://purl.obolibrary.org/obo/ENVO_00002261,http://www.w3.org/2002/07/owl#Class,forest soil
http://purl.obolibrary.org/obo/ENVO_00002264,http://www.w3.org/2002/07/owl#Class,waste material
http://purl.obolibrary.org/obo/ENVO_00002297,http://www.w3.org/2002/07/owl#Class,environmental feature
http://purl.obolibrary.org/obo/ENVO_00003064,http://www.w3.org/2002/07/owl#Class,drinking water
http://purl.obolibrary.org/obo/ENVO_00003074,http://www.w3.org/2002/07/owl#Class,manufactured product
http://purl.obolibrary.org/obo/ENVO_00003096,http://www.w3.org/2002/07/owl#Class,tap water
http://purl.obolibrary.org/obo/ENVO_00003097,http://www.w3.org/2002/07/owl#Class,bore hole water
http://purl.obolibrary.org/obo/ENVO_00005749,http://www.w3.org/2002/07/owl#Class,farm soil
http://purl.obolibrary.org/obo/ENVO_00005750,http://www.w3.org/2002/07/owl#Class,grassland soil
http://purl.obolibrary.org/obo/ENVO_00005772,http://www.w3.org/2002/07/owl#Class,orchard soil
http://purl.obolibrary.org/obo/ENVO_00005773,http://www.w3.org/2002/07/owl#Class,pasture soil
http://purl.obolibrary.org/obo/ENVO_00005801,http://www.w3.org/2002/07/owl#Class,rhizosphere
http://purl.obolibrary.org/obo/ENVO_00010483,http://www.w3.org/2002/07/owl#Class,environmental material
http://purl.obolibrary.org/obo/ENVO_00010505,http://www.w3.org/2002/07/owl#Class,aerosol
http://purl.obolibrary.org/obo/ENVO_0010001,http://www.w3.org/2002/07/owl#Class,anthropogenic environmental material
http://purl.obolibrary.org/obo/ENVO_0010003,http://www.w3.org/2002/07/owl#Class,agricultural environmental material
http://purl.obolibrary.org/obo/ENVO_01000001,http://www.w3.org/2002/07/owl#Class,mud
http://purl.obolibrary.org/obo/ENVO_01000002,http://www.w3.org/2002/07/owl#Class,water well
http://purl.obolibrary.org/obo/ENVO_01000017,http://www.w3.org/2002/07/owl#Class,sand
http://purl.obolibrary.org/obo/ENVO_01000155,http://www.w3.org/2002/07/owl#Class,organic material
http://purl.obolibrary.org/obo/ENVO_01000254,http://www.w3.org/2002/07/owl#Class,environmental system
http://purl.obolibrary.org/obo/ENVO_01000408,http://www.w3.org/2002/07/owl#Class,environmental zone
http://purl.obolibrary.org/obo/ENVO_01000458,http://www.w3.org/2002/07/owl#Class,concrete
http://purl.obolibrary.org/obo/ENVO_01000472,http://www.w3.org/2002/07/owl#Class,building roof
http://purl.obolibrary.org/obo/ENVO_01000473,http://www.w3.org/2002/07/owl#Class,thatch
http://purl.obolibrary.org/obo/ENVO_01000475,http://www.w3.org/2002/07/owl#Class,brick
http://purl.obolibrary.org/obo/ENVO_01000514,http://www.w3.org/2002/07/owl#Class,tile
http://purl.obolibrary.org/obo/ENVO_01000516,http://www.w3.org/2002/07/owl#Class,toilet fixture
http://purl.obolibrary.org/obo/ENVO_01000517,http://www.w3.org/2002/07/owl#Class,pit latrine
http://purl.obolibrary.org/obo/ENVO_01000527,http://www.w3.org/2002/07/owl#Class,flush toilet fixture
