ID,LABEL,SubClass Of [NAMED],alternative term,definition,definition source,term editor,term tracker item,term replaced by,ontology term requester,editor note,deprecated,sourced by VectorBase ID,Source,SubClass Of [ANON],Equivalent Class,OBO ontologies?,JZ comment,JJ comment
EUPATH:0043027,larval specimen collection process,aquatic arthropod specimen collection process,collection of larvae,An arthropod specimen collection process in which the arthropods are in the larval stage.,,,,,,,,MIRO:30000022,,,,OBI,,agree
EUPATH:0043060,pupal specimen collection process,aquatic arthropod specimen collection process,collection of pupae,An arthropod specimen collection process in which the arthropods are in the pupal stage.,,,,,,,,MIRO:30000050,,,,OBI,,agree
EUPATH:0043057,arthropod resting in human house specimen collection by aspiration,arthropod specimen collection by aspiration,,An arthropod specimen collection by aspiration that catches specimens resting inside a human house.,,,,,,,,,,,,,,
EUPATH:0043028,daytime arthropod specimen collection by aspiration,arthropod specimen collection by aspiration,,An arthropod specimen collection by aspiration that occurs in the daytime.,,,,,,,,,,,,,,
EUPATH:0043199,arthropod collection process with automated identification,arthropod specimen collection process,,An arthropod specimen collection process that involves a device that produces data specifying the types of arthropod collected.,VEuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0043198,gravid female arthropod specimen collection process,arthropod specimen collection process,,An arthropod specimen collection process that has the objective of collecting gravid female arthropods.,VEuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0043053,resting flight-capable arthropod specimen collection process,arthropod specimen collection process,collection of resting insects capable of flight,An arthropod specimen collection process that occurs while an arthropod that is capable of flight is resting outdoors during a period of inactivity.,,,,,,,,VSMO:0000514,,,,,,
EUPATH:0043051,arthropod trap containing small non-human animal bait,arthropod trap,trap containing small non-human animal bait,An arthropod trap that uses as attractant an animal that is not human and is the size of a chicken or smaller.,,,,,,,,VSMO:0001595,,'location of' some 'arthropod attractor',,,,
EUPATH:0043054,free-standing window trap,arthropod trap,,"An arthropod trap that consists of a transparent window placed in a box that holds a liquid solution deadly to arthropods. This trap is designed to stop an arthropod in flight, causing it to fall into the liquid and die.",,,,,,,,VSMO:0001649,,,,OBI,,agree
EUPATH:0043049,trap for emerging adult arthropods,arthropod trap,trap for emerging adult arthropods,An arthropod trap that is designed to trap an arthropod as it emerges from water at the beginning of its adult stage.,"American Midland Naturalist, Vol. 97, No. 2 (Apr., 1977), pp. 381-389",,,,,,,VSMO:0001352,,,,,,
EUPATH:0000528,gametocyte detection assay,assay,,An assay that detects parasite gametocyte in a specimen.,,"Person: Jie Zheng, Chris Stoeckert",,,,,,,,realizes some ('measurand role' and ('role of' some ('participates in' only 'gametocyte stage'))),,OBI,,agree
EUPATH:0000545,malaria rapid diagnosis test,assay,,An assay that is quick and easy in the diagnosis of malaria by detecting evidence of malaria parasites (antigens) in human blood.,,"Person: Jie Zheng, Chris Stoeckert",,,,,,,,,,OBI,,agree
EUPATH:0000544,organismal body temperature measurement assay,assay,,An assay that detects body temperature of an organism.,,"Person: Jie Zheng, Chris Stoeckert",,,,,,,,,,OBI,,agree
EUPATH:0000538,parasite detection assay,assay,,An assay that detects parasite in a specimen.,,"Person: Jie Zheng, Chris Stoeckert",,,,,,,,,,OBI,,agree
EUPATH:0000796,sporozoite detection assay,assay,,An assay that detects parasite organisms in a specimen that are in the sporozoite stage.,VEuPathDB,Person: John Judkins,,,,,,,,realizes some ('measurand role' and ('role of' some ('participates in' only 'sporozoite stage'))),,OBI,,agree
EUPATH:0000724,stool test for microorganisms,assay,,Assay that subjects a stool sample to a test for microorganisms.,Penn Group,"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert",,,,,,,GEMS,,,OBI,,agree
EUPATH:0000114,average asexual parasite density of a participant with asymptomatic microscopic parasitemia,average value,,An average value of asexual parasites counted per microliter of blood (i.e. malaria parasite density) across mulitiple clinical visits of a participant who was diagnosed with asymptomatic microscopic parasitemia.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000115,average asexual parasite density of a participant with malaria,average value,,An average value of asexual parasites counted per microliter of blood (i.e. malaria parasite density) across mulitiple clinical visits of a participant who was diagnosed with malaria.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000139,average number of clinical visits per year,average value,,An average value for the number of clinical visits of a patient based on calendar years,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000140,average number of clinical visits with asymptomatic microscopic parasitemia diagnosis per year,average value,,An average value for the number of clinical visits of a patient with asymptomatic microscopic parasitemia based on calendar years.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000491,average number of clinical visits with asymptomatic parasitemia diagnosis per year,average value,,An average value for the number of clinical visits of a patient with asymptomatic parasitemia based on calendar years.,,"Person:  Jie Zheng, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000141,average number of clinical visits with malaria diagnosis per year,average value,,An average value for the number of clinical visits of a patient with malaria based on calendar years,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000116,average number of female Anopheles per night,average value,,An average value of female Anopheles mosquitoes collected across multiple collections (e.g. from one or more households on a number of nights).,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000131,average number of female Anopheles tested for Plasmodium parasite,average value,,An average value for female Anopheles mosquitoes tested for carrying Plasmodium parasites across multiple collections (e.g. from a given household across CDC light trap collections) in a given period.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000117,average number of female Anopheles tested for sporozoite,average value,,An average value of Anopheles mosquitoes tested for sporozoites across multiple collections (e.g. from a given household across CDC light trap collections) in a given period.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000130,average number of Plasmodium parasite-positive female Anopheles,average value,,An average value for female Anopheles mosquitoes tested positive for carrying Plasmodium parasites across multiple collections (e.g. from a given household across CDC light trap collections) in a given period.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000118,average number of sporozoite-positive female Anopheles,average value,,An average value of sporozoite positive female Anopheles mosquitoes across multiple collections (e.g. from a given household over a number of nights of collections).,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000119,average percent of female Anopheles with Plasmodium sporozoites,average value,,An average percentage value of female Anopheles mosquitoes tested as sporozoites-positive in all female mosquitoes tested for sporozoites across multiple collections.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000132,average percent of Plasmodium parasite-positive female Anopheles,average value,,An average percentage value for female Anopheles mosquitoes carrying Plasmodium parasites in all female mosquitoes tested for carrying Plasmodium parasites across multiple collections.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0010098,average respiratory rate,average value,"Respiratory rate, mean",an average value that is the specified output of a data transformation that has two or more respiratory rates of the same human participant under investigation as specified input,EuPathDB,John Judkins,,,,,,,,is_specified_output_of some ('averaging data transformation' and (has_specified_input only 'respiration rate')),,OBI,,agree
EUPATH:0010078,mean height,average value,Height; mean,an average value that is the specified output of a data transformation that has as input only length measurement data about height,EuPathDB,John Judkins,,,,,,,,,,OBI,,agree
EUPATH:0010087,mean mid-upper arm circumference,average value,MUAC; mean,An average value of two or more mid-upper arm circumference data of the same human participant under investigation,EuPathDB,"Person: John Judkins, Chris Stoeckert",,,,,,,,,,OBI,,agree
EUPATH:0000199,number of insecticide treated mosquito net(s) per person,average value,,An average value for the number of insecticide treated mosquito net(s) per person.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000624,axillary lesion score after treatment,axillary lesion score,,skin symptom or sign information that is about a lesion on the axilla of a patient and specifies the extent of damage to the tissue that remains after a treatment to alleviate the lesion,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000622,axillary lesion score before treatment,axillary lesion score,,skin symptom or sign information that is about a lesion on the axilla of a patient and specifies the extent of damage to the tissue before a treatment to alleviate the lesion,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000623,axillary lesion score during treatment,axillary lesion score,,skin symptom or sign information that is about a lesion on the axilla of a patient and specifies the extent of damage to the tissue during a treatment to alleviate the lesion,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000736,propagation,biological_process,,A biological process that breeds a plant or animal by natural processes from the parent stock.,,Person: Jie Zheng,,,,Term added for annotation of a Crypto SNP dataset but the term is not used.,,,,,,"GO, UBERON",,
EUPATH:0021083,blood specimen in vacutainer,blood specimen,Vacutainer sample,a blood specimen that is located in a vacutainer,EuPathDB,John Judkins,,,,,,,,,,OBI,,"agree, but definition should mention ""stored"" or ""preserved"""
EUPATH:0000127,blood specimen on filter paper,blood specimen,,A blood specimen that is located on a filter paper.,Gruop: Penn group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,,,,OBI,,"agree, but definition should mention ""stored"" or ""preserved"""
EUPATH:0000108,floor material role,building material role,,A building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a floor.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,,,,ENVO,,"agree, but should discuss how to submit"
EUPATH:0000106,roof material role,building material role,,A building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a roof.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,,,,ENVO,,"agree, but should discuss how to submit"
EUPATH:0000107,wall material role,building material role,,A building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a wall.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,,,,ENVO,,"agree, but should discuss how to submit"
EUPATH:0000048,blood smear reading as positive or negative,categorical measurement datum,asexual parasites present by microscopy,A categorical measurement datum that indicates the presence of asexual parasites in blood cells by microscopy using a value of positive or negative.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,is_specified_output_of some 'clinical laboratory test',,,,
EUPATH:0000029,frequency of not satisfying food needs,categorical measurement datum,,how often problems satisfying food needs in a household,PRISM|Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,'is about' some household,,,,
EUPATH:0010494,presence of maximum fever temperature of at least 37.5 degrees,categorical measurement datum,"Fever at episode, temperature >37.5C",a categorical measurement datum that is about a maximum fever temperature in Celsius and specifies whether its value is at least 37.5,EuPathDB,John Judkins,,,,,,,,,,,,
EUPATH:0000403,proximity to case dwelling datum,categorical measurement datum,,A categorical measurement datum about proximity to case dwelling.,,,,,,,,,,,,,,
EUPATH:0000541,rapid diagnosis test result as positive or negative,categorical measurement datum,,A categorical measurement datum that is the result of rapid diagnosis test using a value of positive or negative.,,"Person: Jie Zheng, Chris Stoeckert",,,,,,,,,,,,
EUPATH:0010383,anthropometric value range specification,categorical value specification,Anthropometry flag,A categorical value specification that specifies whether the value of an anthropometric information content entity lies outside a specified range,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0010079,median height,center value,Height; median,A center value that is the specified output of a median calculation that has as input only length measurement data about height,EuPathDB,Person: John Judkins,,,,,,,,,,OBI,,agree
EUPATH:0010088,median mid-upper arm circumference,center value,MUAC; median,A center value of one or more mid-upper arm circumference data of the same human participant under investigation,EuPathDB,"Person: John Judkins, Chris Stoeckert",,,,,,,,,,OBI,,agree
EUPATH:0000275,ATCC number,centrally registered identifier symbol,ATCC #,A centrally registered identifier symbol assigned by the American Type Culture Collection (ATCC).,,,,,,,,,,,,CLO,,ok
EUPATH:0000577,BEI repository identifier,centrally registered identifier symbol,,A centrally registered identifier symbol assigned by the BEI Resources (https://www.beiresources.org/) to cultures and reagents for microbiology and infectious diseases research.,,,,,,,,,,,,"CLO, IDO",,ok
EUPATH:0000535,IRB number,centrally registered identifier symbol,,A centrally registered identifier symbol assigned to a research project by Institutional Review Board (IRB). The IRB is a committee established to review and approve applications for research projects involving human subjects. The primary purpose of the IRB is to protect the rights and welfare of the human subjects.,,"Person: Jie Zheng, Chris Stoeckert",,,,,,,,,,ICO,,agree
EUPATH:0000793,finding of death from COVID-19,clinical finding,death confirmed likely from COVID,A clinical finding of a death that has been confirmed to be likely caused by COVID-19.,VEuPathDB,,,,,,,,,,,,,
EUPATH:0021098,immediate clinical history,clinical history,Immediate clinical history|immediate clinical history,a clinical history that is about a human participant under investigation and contains only statements about health-relevant qualities that come into existence after the enrollment of the participant in the study,EuPathDB,John Judkins,,,,,,,,,,,,
EUPATH:0011795,blood test,clinical laboratory test,Blood test,a laboratory test that has a blood specimen as specified input,EuPathDB,John Judkins,,,,,,,,,,OBI,,"agree, see OBI issue #1309"
EUPATH:0000437,falcivax rapid diagnostic test,clinical laboratory test,,A laboratory test that can quickly establishing the diagnosis of  P. falciparum or P. vivax malaria infection by detecting the antigens in a person's blood.,,,,,,,,,,,,OBI,,"agree, but the definition should be revised because this the product of a specific manufacturer (and quotes should be removed)."
EUPATH:0000438,optimal-IT rapid diagnostic test,clinical laboratory test,,"""A laboratory test that is a rapid, sensitive malaria test that is able to differentiate between P. falciparum and other malaria parasites. """,,,,,,,,,,,,OBI,,"agree, but the definition should be revised because this the product of a specific manufacturer (and quotes should be removed)."
EUPATH:0011797,urine test,clinical laboratory test,Urine test,a laboratory test that has a urine specimen as specified input,EuPathDB,John Judkins,,,,,,,,,,OBI,,agree
EUPATH:0000142,routine clinical visit date,clinical visit date,,A clinical visit date that specifies the date/time period of a routine clinical visit.,Penn Group,Person: Jie Zheng,,,,,,,PRISM,'is about' some 'routine clinical visit',,,,
EUPATH:0010102,water container,container,,Container used by humans to drink water.,Penn Group,"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert",,,,,,,GEMS,,,OBI,,agree but label & definition should match
EUPATH:0022004,count of beds with bednet,count,Beds with bednet (#),a count of the number of beds in the dwelling of a household that have a bed net hung over them,EuPathDB,John Judkins,,,,,,,,,,,"What different in using count and number in the label? They are sibling, all are subclass of count. The definition also need to be standardized.",agree to change label as discussed
EUPATH:0043046,count of traps,count,number of traps,A count of the traps deployed in a study design execution.,,,,,,,,VBcv:0001122,,,,,,
EUPATH:0000134,number of Anopheles collections,count,,A count of Anopheles mosquitoes collections performed (e.g. from a given household) in a given period.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000595,number of child occupants in a dwelling,count,,a count that is about a dwelling and is also the result of counting the instances of a child that occupies the dwelling,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000121,number of clinical visits,count,,A data item of the total number of clinical visits by a participant in an investigation.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,'is about' some 'health care encounter',,,,
EUPATH:0000122,number of clinical visits resulting in a malaria diagnosis,count,,A data item of the number of clinical visits during which the participant was diagnosed with malaria,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,'is about' some 'health care encounter',,,,
EUPATH:0000123,number of clinical visits resulting in an asymptomatic microscopic parasitemia diagnosis,count,,A data item of the number of clinical visits during which the participant was diagnosed with asymptomatic microscopic parasitemia.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,'is about' some 'health care encounter',,,,
EUPATH:0000486,number of clinical visits resulting in an asymptomatic parasitemia diagnosis,count,,A data item of the number of clinical visits during which the participant was diagnosed with asymptomatic parasitemia.,,"Person:  Jie Zheng, Shon cade, Grant Dorsey",,,,,,,PRISM,'is about' some 'health care encounter',,,,
EUPATH:0000379,number of common areas in a dwelling,count,,"a count of the number of instances of a site, within a human dwelling and its yard, to which any resident of the dwelling has access",EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000492,number of courses of antibiotics given,count,,A count of the number of courses of antibiotics received by the human or animal.,,"Person: Daniel Beiting, Jie Zheng",,,,,,,microbiome,,,,,
EUPATH:0000028,number of days eating meat in a week,count,,A scalar measurement datum of days eating meat in a  week in a household,PRISM|Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,'is about' some household,,,,
EUPATH:0043177,number of entomology collections,count,,A count of collections of specimens that have only arthropods as their members.,VEuPathDB,Person: John Judkins,,,,,,,,'is about' some ('collection of specimens' and ('has member' only Arthropoda)),,,,
EUPATH:0000348,number of infections with P. falciparum in lifetime,count,,A count of the total times of a person who infected with P. falciparum in his lifetime.,,"Person: Chris Stoeckert, Jie Zheng",,,,,,,,,,,,
EUPATH:0000349,number of infections with P. falciparum in the last year,count,,A count of the total times of a person who infected with P. falciparum last year.,,"Person: Chris Stoeckert, Jie Zheng",,,,,,,,,,,,
EUPATH:0000346,number of infections with P. vivax in lifetime,count,,A count of the total times of a person who infected with P. vivax in his lifetime.,,"Person: Chris Stoeckert, Jie Zheng",,,,,,,,,,,,
EUPATH:0000347,number of infections with P. vivax in the last year,count,,A count of the total times of a person who infected with P. vivax last year.,,"Person: Chris Stoeckert, Jie Zheng",,,,,,,,,,,,
EUPATH:0043155,number of input specimens to assay,count,,A count of the specimens involved in an assay.,VEuPathDB,Person: John Judkins,,,,,,,,'is about' some ('collection of specimens' and (is_specified_input_of some assay)),,,,
EUPATH:0000398,number of insecticide-treated bed nets treated less than 6 months ago,count,,a count of the number of instances of a bed net to which insecticide was applied in the past six months,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000399,number of insecticide-treated bed nets treated more than 6 months ago,count,,a count of the number of instances of a bed net to which insecticide was applied before the previous six months,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000395,number of livestock,count,,a count of the number of instances of a domesticated animal that is raised in an agricultural setting to produce labor and commodities,Wikipedia,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000400,number of long last insecticide-treated bed nets,count,,a count of the number of instances of bed net to which long last insecticide is administered,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000426,number of malaria diagnosis past year,count,,A count of malaria diagnosis past year.,,,,,,,,,,,,,,
EUPATH:0000027,number of meals per day,count,,A scalar measurement datum of meals per day in a household,PRISM|Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,'is about' some household,,,,
EUPATH:0000124,number of non-routine clinical visits,count,,A data item of the total number of clinical visits which were not sheduled routine visits.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000336,number of non-scheduled visits,count,,A count of the total number of non-scheduled clinical visits in an investigation.,,,,,,,,,,,,,,
EUPATH:0000396,number of pets,count,,a count of the number of instances of a domesticated animal that is kept for pleasure rather than utility,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000019,number of residents in a dwelling,count,,A scalar measurements datum of resident in a dwelling.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,'is about' some household,,,,
EUPATH:0000025,number of rooms for sleeping in a dwelling,count,number of bedrooms in a dwelling,number of rooms in a dwelling that are used for sleeping.,PRISM|Penn Group,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,'is about' some 'human dwelling',,,,
EUPATH:0000125,number of routine clinical visits,count,,A data item of the total number of clinical visits which were sheduled routine visits.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000337,number of scheduled visits,count,,A count of the total number of scheduled clinical visits in an investigation.,,,,,,,,,,,,,,
EUPATH:0000201,number of sleeping places in dwelling with a household,count,,A data item of the number of sleeping spaces in a dwelling.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000619,number of treatments,count,,a count of the number of instances of a treatment,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000401,number of untreated bed net,count,,a count of the number of instances of a bed net to which insecticide has not been applied,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000424,birth country name,country name,,A country name denote where a person was born.,,,,,,,,,,,,,,
EUPATH:0000445,visited country name,country name,,A country name denote a geographic location that a person has visited.,,,,,,,,,,,,,,
EUPATH:0000149,covered pit latrine without slab,covered pit latrine,,A covered pit latrine that does not have a latrine slab.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,,,
EUPATH:0000312,aggregated entomological data item,data item,aggregated entomological measurement data,an entomological data item that results from either (a) counting insect collections from multiple catches of live specimens or (b) an averaging data transformation that has single catch entomological measurement data as input,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0023008,Blantyre coma score sum,data item,Blantyre coma score - total,"A data item that is about a child infected with malaria and is the sum of the blantyre coma eye movement score, the blantyre coma motor response score, and the blantyre coma verbal response score for the same child during the same infection",Wikipedia,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000143,categorical household wealth index,data item,,"A data item about a household's cumulative living standard represented in a categorical datum. The wealth index is calculated using data on a household's ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities.",http://dhsprogram.com/topics/Wealth-Index.cfm,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,OMRSE,Do we need to add term 'household wealth index' and leave all different kinds of 'household wealth index' under it?,<- This makes sense to me.
EUPATH:0015462,data about Vibrio cholerae O1 by differential medium assay,data item,"Vibrio cholerae 01, by bacteriology result",a data item that is the specified output of a differential medium assay that has the objective of determining whether a specimen contains Vibrio cholerae serogroup O1,EuPathDB,John Judkins,,,,,,,,,,,,
EUPATH:0015463,data about Vibrio cholerae O139 by differential medium assay,data item,"Vibrio cholerae O139, by bacteriology result",a data item that is the specified output of a differential medium assay that has the objective of determining whether a specimen contains Vibrio cholerae serogroup O139,EuPathDB,John Judkins,,,,,,,,,,,,
EUPATH:0000327,entomological data item,data item,entomological measurement data,a data item that is about a collection of insects,EuPathDB,Person: John Judkins,,,,,,,,,,IDO,,Why IDO rather than OBI?
EUPATH:0010038,fecal specimen quality data item,data item,Stool characteristics,A data item that is about a quality of a fecal specimen,EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0043115,insecticide resistance datum,data item,,A data item that is about resistance to an insecticide.,,Person: John Judkins,,,,,,,,,,OBI? ,,agree
EUPATH:0021027,no Plasmodium by microscopy,data item,"(Plasmodium species, by microscopy) Negative",a data item that is the specified output of a microscopy assay that has a sample of blood as specified input and indicates that the sample does not contain Plasmodium,EuPathDB,John Judkins,,,,,,,,,,,,
EUPATH:0000014,numerical household wealth index,data item,,"A data item of a household's cumulative living standard represented in a numerical datum. The wealth index is calculated using easy-to-collect data on a household's ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities.",Penn Group|http://dhsprogram.com/topics/Wealth-Index.cfm,"Person:  Jie Zheng, Chris Stoeckert",,,,,,,PRISM,'is about' some household,,OMRSE,,agree - we should propose a general household wealth index 1st
EUPATH:0043194,organism identification datum,data item,species assay result,A data item that is the specified output of an organism identification assay.,,,,,,,,VBcv:0000961,,,,OBI? ,,agree
EUPATH:0000597,percent adult occupants in a dwelling,data item,,"a ratio that is about a dwelling, is expressed as a percent, has a count of adult occupants of the dwelling as the numerator, and has a count of all occupants of the dwelling as the denominator",EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0000598,percent male occupants in a dwelling,data item,,"a ratio that is about a dwelling, is expressed as a percent, has a count of male occupants of the dwelling as the numerator, and has a count of all occupants of the dwelling as the denominator",EuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0043154,population fraction with greater enzymatic activity than 99th percentile of reference population,data item,,A data item that specifies the fraction of a population exhibiting higher enzymatic activity than the 99th percentile of a reference population.,VEuPathDB,Person: John Judkins,,,,,,,,'is about' some ('catalytic activity' and (realizes some ('function of' only enzyme))),,,,
EUPATH:0000435,poverty line,data item,,A data item of income level issued annually by the Department of Health and Human Services. Federal poverty levels are used to determine your eligibility for certain programs and benefits.,,,,,,,,,,,,OMRSE,,agree
EUPATH:0000762,presence of organism in specimen,data item,,A data item that indicates whether some organism is present in a specimen.,,,,,,"""Present"" in this definition means 'located in' or 'part of' the specimen.",,,,'has value specification' some ('has specified numeric value' only xsd:boolean),,,,
EUPATH:0000455,proportion mapped reads,data item,,a data item that is about a sequencing assay and is the ratio of the count of mapped reads to the total count of reads,EuPathDB,Person: John Judkins,,,,,,,,,,OBI?,,What about GENEPIO?
