Ontology ID	Label	VEuPathDB alternative label
http://purl.obolibrary.org/obo/DOID_0050486	exanthem	Rash
http://purl.obolibrary.org/obo/DOID_1074	kidney failure	Renal failure
http://purl.obolibrary.org/obo/DOID_11394	adult respiratory distress syndrome	Acute respiratory distress syndrome
http://purl.obolibrary.org/obo/DOID_12328	marasmus	Marasmus
http://purl.obolibrary.org/obo/DOID_12365	malaria	Malaria
http://purl.obolibrary.org/obo/DOID_13250	diarrhea	Diarrheal disease
http://purl.obolibrary.org/obo/DOID_1395	schistosomiasis	Schistosomiasis
http://purl.obolibrary.org/obo/DOID_14069	cerebral malaria	Cerebral
http://purl.obolibrary.org/obo/DOID_13579	kwashiorkor	Kwashiorkor
http://purl.obolibrary.org/obo/DOID_1579	respiratory system disease	Respiratory condition
http://purl.obolibrary.org/obo/DOID_17	musculoskeletal system disease	Musculoskeletal condition
http://purl.obolibrary.org/obo/DOID_2355	anemia	Anemia
http://purl.obolibrary.org/obo/DOID_28	endocrine system disease	Endocrine condition
http://purl.obolibrary.org/obo/DOID_37	skin disease	Skin condition
http://purl.obolibrary.org/obo/DOID_399	tuberculosis	Tuberculosis
http://purl.obolibrary.org/obo/DOID_4	disease	Disease
http://purl.obolibrary.org/obo/DOID_4483	rhinitis	Runny nose or nasal congestion
http://purl.obolibrary.org/obo/DOID_526	human immunodeficiency virus infectious disease	HIV
http://purl.obolibrary.org/obo/DOID_635	acquired immunodeficiency syndrome	AIDS
http://purl.obolibrary.org/obo/DOID_863	nervous system disease	Neurological condition
http://purl.obolibrary.org/obo/DOID_9993	hypoglycemia	Hypoglycemia
http://purl.obolibrary.org/obo/DRON_00000904	amoxicillin suspension	Amoxicillin syrup
http://purl.obolibrary.org/obo/DRON_00001104	Folic acid tablet	Folic acid tablet
http://purl.obolibrary.org/obo/DRON_00001106	Clotrimazole skin cream	Clotrimazole cream
http://purl.obolibrary.org/obo/DRON_00001109	Nystatin suspension	Nystatin suspension
http://purl.obolibrary.org/obo/DRON_00001114	Gentamicin injectable solution	Gentamicin injection
http://purl.obolibrary.org/obo/DRON_00001117	Dexamethasone injection	Dexamethasone injection
http://purl.obolibrary.org/obo/DRON_00001123	Chloramphenicol solution for otic and ophthalmic administration	Chloramphenicol eye drops
http://purl.obolibrary.org/obo/DRON_00001126	Ceftriaxone injectable solution	Ceftriaxone injection
http://purl.obolibrary.org/obo/DRON_00001138	Metronidazole solution	Metronidazole syrup
http://purl.obolibrary.org/obo/DRON_00001509	prednisolone tablet	Prednisolone tablet
http://purl.obolibrary.org/obo/DRON_00001511	salbutamol suspension	Salbutamol syrup
http://purl.obolibrary.org/obo/DRON_00018567	Dornase Alfa	Dornase
http://purl.obolibrary.org/obo/DRON_00020431	Sodium Chloride Nasal Solution	Norsol nasal drops
http://purl.obolibrary.org/obo/DRON_00020467	Acetaminophen Oral Solution	Paracetamol syrup
http://purl.obolibrary.org/obo/DRON_00020551	Ascorbic Acid Oral Tablet	Ceevit
http://purl.obolibrary.org/obo/DRON_00020613	Ibuprofen Oral Suspension	Ibruprofen syrup
http://purl.obolibrary.org/obo/DRON_00020757	Ambroxol Oral Solution	Ambrox drops
http://purl.obolibrary.org/obo/DRON_00020873	Azithromycin Oral Suspension	Azithromycin syrup
http://purl.obolibrary.org/obo/DRON_00021182	Cefixime Oral Suspension	Cefixime suspension
http://purl.obolibrary.org/obo/DRON_00021212	Cetirizine Oral Solution	Cetirizine alatrol
http://purl.obolibrary.org/obo/DRON_00021279	Chlorpheniramine Oral Solution	Chlorpheniramine maleate syrup
http://purl.obolibrary.org/obo/DRON_00021346	Ciprofloxacin Oral Suspension	Ciprofloxacin syrup
http://purl.obolibrary.org/obo/DRON_00021406	Clotrimazole Topical Solution	Clotrimazole ear drops
http://purl.obolibrary.org/obo/DRON_00021569	Diazepam Oral Tablet	Diazepam tablet
http://purl.obolibrary.org/obo/DRON_00021596	Dicyclomine Oral Solution	Dicycloverine hydrochloride
http://purl.obolibrary.org/obo/DRON_00021709	Domperidone Oral Solution	Omidon syrup
http://purl.obolibrary.org/obo/DRON_00022040	Glycerin Rectal Suppository	Glycerine suppository
http://purl.obolibrary.org/obo/DRON_00022124	Hydroxyzine Oral Solution	Hydroxyzine hydrochloride syrup
http://purl.obolibrary.org/obo/DRON_00022367	Mebendazole Oral Suspension	Mebendazole syrup
http://purl.obolibrary.org/obo/DRON_00022621	Naproxen Oral Suspension	Naproxen syrup
http://purl.obolibrary.org/obo/DRON_00022711	Nitrazepam Oral Tablet	Nitrazepam tablet
http://purl.obolibrary.org/obo/DRON_00022759	Ondansetron Oral Solution	Ondansetron syrup
http://purl.obolibrary.org/obo/DRON_00022806	Oxycodone Oral Tablet	Oxicone
http://purl.obolibrary.org/obo/DRON_00023027	Vitamin K 1 Injectable Solution	Konakion injection (vitamin K)
http://purl.obolibrary.org/obo/DRON_00023088	Potassium Chloride Oral Solution	Potassium syrup (Electro K)
http://purl.obolibrary.org/obo/DRON_00023306	Riboflavin Oral Tablet	Riboflavin tablet
http://purl.obolibrary.org/obo/DRON_00023392	Simethicone Oral Solution	Flacol drops
http://purl.obolibrary.org/obo/DRON_00023558	Theophylline Oral Solution	Theophylline
http://purl.obolibrary.org/obo/DRON_00024920	Povidone Topical Solution	Povidone ointment
http://purl.obolibrary.org/obo/DRON_00025987	xylometazoline Nasal Solution	Xylometazoline drop
http://purl.obolibrary.org/obo/DRON_00025989	Tobramycin Ophthalmic Solution	Tobramycin eye drops
http://purl.obolibrary.org/obo/DRON_00026073	Ketoconazole Medicated Shampoo	Ketoconazole shampoo
http://purl.obolibrary.org/obo/DRON_00026161	Betamethasone Topical Cream	Betson cream
http://purl.obolibrary.org/obo/DRON_00026172	Calamine Topical Lotion	Calamine lotion
http://purl.obolibrary.org/obo/DRON_00026326	Permethrin Topical Cream	Permethrin cream
http://purl.obolibrary.org/obo/DRON_00026348	Silver Sulfadiazine Topical Cream	Silver sulfadiazine (Burnsil)
http://purl.obolibrary.org/obo/DRON_00026595	Lactulose Oral Solution	Lactulose syrup
http://purl.obolibrary.org/obo/DRON_00026717	amlexanox Oral Paste	Amlexanox (Apsol gel)
http://purl.obolibrary.org/obo/DRON_00026889	montelukast Oral Tablet	Montelukast
http://purl.obolibrary.org/obo/DRON_00026927	nitazoxanide Oral Solution	Nitazoxanide syrup
http://purl.obolibrary.org/obo/DRON_00027488	Ranitidine Oral Solution	Ranitidine syrup
http://purl.obolibrary.org/obo/DRON_00027639	Miconazole Oral Gel	Miconazole oral gel
http://purl.obolibrary.org/obo/DRON_00027939	Tetracycline Topical Lotion	Tetrasol
http://purl.obolibrary.org/obo/DRON_00027970	moxifloxacin Ophthalmic Solution	Moxifloxacin eye drops
http://purl.obolibrary.org/obo/DRON_00028948	Gentamicin Sulfate (USP) / Hydrocortisone Topical Ointment	Gentin ointment
http://purl.obolibrary.org/obo/DRON_00030554	Erythromycin Oral Solution	Erythromycin syrup
http://purl.obolibrary.org/obo/DRON_00030841	desloratadine Oral Solution	Desloratadine syrup
http://purl.obolibrary.org/obo/DRON_00030873	Amoxicillin / Clavulanate Oral Solution	Moxclav syrup
http://purl.obolibrary.org/obo/DRON_00030925	Mefenamate Oral Suspension	Mefenamic acid
http://purl.obolibrary.org/obo/DRON_00031432	fexofenadine Oral Suspension	Fexofenadine
http://purl.obolibrary.org/obo/DRON_00031867	Floxacillin Oral Solution	Flucloxacillin syrup
http://purl.obolibrary.org/obo/DRON_00031892	Acyclovir Oral Solution	Acyclovir syrup
http://purl.obolibrary.org/obo/DRON_00031946	Fluconazole Oral Solution	Fluconazole syrup
http://purl.obolibrary.org/obo/DRON_00031951	Guaifenesin / Pseudoephedrine / Triprolidine Oral Solution	Aquaphen syrup
http://purl.obolibrary.org/obo/DRON_00032047	Sulfamethoxazole / Trimethoprim Oral Solution	Cotrimoxazole syrup
http://purl.obolibrary.org/obo/DRON_00032549	Ciprofloxacin Otic Solution	Cipro ear drops
http://purl.obolibrary.org/obo/DRON_00051859	Zinc Sulfate 20 MG Oral Tablet	Baby zinc tablet
http://purl.obolibrary.org/obo/DRON_00775058	Gentamicin Otic Solution	Gentamicin ear drops
http://purl.obolibrary.org/obo/DUO_0000001	data use permission	Data access level
http://purl.obolibrary.org/obo/ECTO_9002101	exposure to pyrethroid insecticide	Pyrethroid insecticide exposure
http://purl.obolibrary.org/obo/ENVO_00000009	national geopolitical entity	Country
http://purl.obolibrary.org/obo/ENVO_00000176	elevation	Elevation (feet)
http://purl.obolibrary.org/obo/ENVO_00000428	biome	Environment (biome)
http://purl.obolibrary.org/obo/ENVO_00000501	submerged bed	Bed
http://purl.obolibrary.org/obo/ENVO_00000856	city	"City, village, or region"
http://purl.obolibrary.org/obo/ENVO_00003064	drinking water	Drinking water source
http://purl.obolibrary.org/obo/ENVO_00010483	environmental material	Environment (material)
http://purl.obolibrary.org/obo/ENVO_01000577	radio device	Radio
http://purl.obolibrary.org/obo/ENVO_01000578	cassette player	Cassette player
http://purl.obolibrary.org/obo/ENVO_01000579	television set	Television
http://purl.obolibrary.org/obo/ENVO_01000580	telephone	Telephone (mobile or non-mobile)
http://purl.obolibrary.org/obo/ENVO_01000581	mobile phone	Mobile phone
http://purl.obolibrary.org/obo/ENVO_01000582	landline telephone	Landline phone
http://purl.obolibrary.org/obo/ENVO_01000583	refrigerator	Refrigerator
http://purl.obolibrary.org/obo/ENVO_01000584	table	Table
http://purl.obolibrary.org/obo/ENVO_01000586	chair	Chair
http://purl.obolibrary.org/obo/ENVO_01000588	sofa	Sofa
http://purl.obolibrary.org/obo/ENVO_01000594	cabinet	Cabinet
http://purl.obolibrary.org/obo/ENVO_01000595	cupboard	Cupboard
http://purl.obolibrary.org/obo/ENVO_01000596	clock	Clock
http://purl.obolibrary.org/obo/ENVO_01000614	bicycle	Bicycle
http://purl.obolibrary.org/obo/ENVO_01000615	motorcycle	Motorcycle or scooter
http://purl.obolibrary.org/obo/ENVO_01000739	habitat	Habitat
http://purl.obolibrary.org/obo/ENVO_01000744	human dwelling	Dwelling type
http://purl.obolibrary.org/obo/ENVO_01000773	village	Village
http://purl.obolibrary.org/obo/ENVO_01000825	eaves	Eaves
http://purl.obolibrary.org/obo/ENVO_01001078	weather	Weather
http://purl.obolibrary.org/obo/ENVO_01001260	waste disposal process	Garbage disposal
http://purl.obolibrary.org/obo/EUPATH_0000001	building material	Building material
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material	Roof material
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material	Floor material
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material	Wall material
http://purl.obolibrary.org/obo/EUPATH_0000014	numerical household wealth index	"Household wealth index, numerical"
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick	Air bricks
http://purl.obolibrary.org/obo/EUPATH_0000019	number of residents in a dwelling	Persons living in house count
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel material	Cooking fuel
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms for sleeping in a dwelling	Sleeping rooms in dwelling count
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measurement datum	Acres
http://purl.obolibrary.org/obo/EUPATH_0000027	number of meals per day	Meals per day
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days per week eating meat	Meat meals per week
http://purl.obolibrary.org/obo/EUPATH_0000029	frequency of not satisfying food needs	Food problems per week
http://purl.obolibrary.org/obo/EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype	G6PD genotype
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype	Alpha-thalassemia genotype
http://purl.obolibrary.org/obo/EUPATH_0000035	sickle hemoglobin genotype	HbS genotype
http://purl.obolibrary.org/obo/EUPATH_0000036	diagnosis of parasitic infectious disease	Malaria-related diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000040	diagnosis of complicated malaria	Complicated malaria
http://purl.obolibrary.org/obo/EUPATH_0000043	diagnosis of severe malaria	Severe malaria
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading as positive or negative	"Plasmodium asexual stages, by microscopy"
http://purl.obolibrary.org/obo/EUPATH_0000054	subcounty of Uganda	Sub-county in Uganda
http://purl.obolibrary.org/obo/EUPATH_0000058	malaria medication	Antimalarial medication
http://purl.obolibrary.org/obo/EUPATH_0000059	non-malaria medication	Non-malaria medication
http://purl.obolibrary.org/obo/EUPATH_0000090	diagnosis of symptomatic malaria	Malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000091	date of clinical visit	Visit date
http://purl.obolibrary.org/obo/EUPATH_0000092	asexual parasite density by microscope	"Plasmodium asexual stages, by microscopy result"
http://purl.obolibrary.org/obo/EUPATH_0000094	household identifier	Household ID
http://purl.obolibrary.org/obo/EUPATH_0000095	human study subject identifier	Participant ID
http://purl.obolibrary.org/obo/EUPATH_0000096	study participant information	Participant
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile	Febrile
http://purl.obolibrary.org/obo/EUPATH_0000100	subjective fever	Subjective fever
http://purl.obolibrary.org/obo/EUPATH_0000121	number of clinical visits	Total antenatal care visits
http://purl.obolibrary.org/obo/EUPATH_0000123	number of clinical visits resulting in an asymptomatic microscopic parasitemia diagnosis	Total visits with microscopic parasitemia
http://purl.obolibrary.org/obo/EUPATH_0000128	peripheral blood mononuclear cell specimen	Peripheral blood mononuclear cell sample
http://purl.obolibrary.org/obo/EUPATH_0000135	sum number of female Anopheles in a collection	Female Anopheles count
http://purl.obolibrary.org/obo/EUPATH_0000136	sum number of female Anopheles funestus in a collection	Female Anopheles funestus count
http://purl.obolibrary.org/obo/EUPATH_0000137	sum number of female Anopheles gambiae in a collection	Female Anopheles gambiae count
http://purl.obolibrary.org/obo/EUPATH_0000138	duration of observation of study participant	Observation period
http://purl.obolibrary.org/obo/EUPATH_0000143	categorical household wealth index	"Household wealth index, categorical"
http://purl.obolibrary.org/obo/EUPATH_0000144	household asset information	Assets
http://purl.obolibrary.org/obo/EUPATH_0000150	date of death	Death date
http://purl.obolibrary.org/obo/EUPATH_0000151	date of participant first enrolled in a study	Enrollment date
http://purl.obolibrary.org/obo/EUPATH_0000152	date of participant last seen in a study	Last date observed
http://purl.obolibrary.org/obo/EUPATH_0000154	duration of abdominal pain	Abdominal pain duration
http://purl.obolibrary.org/obo/EUPATH_0000155	duration of anorexia	Anorexia duration
http://purl.obolibrary.org/obo/EUPATH_0000156	duration of cough	Cough duration
http://purl.obolibrary.org/obo/EUPATH_0000157	duration of diarrhea	Diarrhea duration
http://purl.obolibrary.org/obo/EUPATH_0000158	duration of fatigue	Fatigue duration
http://purl.obolibrary.org/obo/EUPATH_0000159	duration of headache	Headache duration
http://purl.obolibrary.org/obo/EUPATH_0000160	duration of jaundice	Jaundice duration
http://purl.obolibrary.org/obo/EUPATH_0000161	duration of joint pains	Joint pains duration
http://purl.obolibrary.org/obo/EUPATH_0000162	duration of muscle aches	Muscle aches duration
http://purl.obolibrary.org/obo/EUPATH_0000163	duration of seizures	Seizures duration
http://purl.obolibrary.org/obo/EUPATH_0000164	duration of subjective fever	Subjective fever duration
http://purl.obolibrary.org/obo/EUPATH_0000165	duration of vomiting	Vomiting duration
http://purl.obolibrary.org/obo/EUPATH_0000166	indicator of household having animal-drawn cart	Animal-drawn cart
http://purl.obolibrary.org/obo/EUPATH_0000167	indicator of household having bank account	Bank account
http://purl.obolibrary.org/obo/EUPATH_0000170	indicator of household having boat without a motor	Boat without a motor
http://purl.obolibrary.org/obo/EUPATH_0000171	indicator of household having car	Car or truck
http://purl.obolibrary.org/obo/EUPATH_0000179	indicator of household having motorboat	Boat with a motor
http://purl.obolibrary.org/obo/EUPATH_0000186	indicator of household having watch	Watch
http://purl.obolibrary.org/obo/EUPATH_0000191	duration of study participation from enrollment to current visit	Time since enrollment
http://purl.obolibrary.org/obo/EUPATH_0000192	number of fed female Anopheles funestus in a collection	Bloodfed Anopheles funestus count
http://purl.obolibrary.org/obo/EUPATH_0000193	number of fed female Anopheles gambiae in a collection	Bloodfed Anopheles gambiae count
http://purl.obolibrary.org/obo/EUPATH_0000194	number of female Anopheles dissected for parity in a collection	Anopheles dissected for parity count
http://purl.obolibrary.org/obo/EUPATH_0000195	number of female null parous Anopheles in a collection	Anopheles nulliparous count
http://purl.obolibrary.org/obo/EUPATH_0000196	number of female parous Anopheles in a collection	Anopheles parous count
http://purl.obolibrary.org/obo/EUPATH_0000197	number of gravid or semi-gravid Anopheles funestus in a collection	Gravid Anopheles funestus count
http://purl.obolibrary.org/obo/EUPATH_0000198	number of gravid or semi-gravid female Anopheles gambiae in a collection	Gravid Anopheles gambiae count
http://purl.obolibrary.org/obo/EUPATH_0000200	number of non-gambiae or funestus female Anopheles species in a collection	Other female Anopheles species count
http://purl.obolibrary.org/obo/EUPATH_0000201	number of sleeping places in dwelling with a household	Sleeping places count
http://purl.obolibrary.org/obo/EUPATH_0000202	number of unassessable Anopheles funestus in a collection	Unable to assess Anopheles funestus count
http://purl.obolibrary.org/obo/EUPATH_0000203	number of unassessable Anopheles gambiae in a collection	Unable to assess Anopheles gambiae count
http://purl.obolibrary.org/obo/EUPATH_0000204	number of unfed female Anopheles funestus in a collection	Unfed Anopheles funestus count
http://purl.obolibrary.org/obo/EUPATH_0000205	number of unfed female Anopheles gambiae in a collection	Unfed Anopheles gambiae count
http://purl.obolibrary.org/obo/EUPATH_0000207	presence of Plasmodium gametocyte in blood by microscopy assay	"Plasmodium gametocytes, by microscopy"
http://purl.obolibrary.org/obo/EUPATH_0000208	reason for participant withdrawal	Reason for withdrawal
http://purl.obolibrary.org/obo/EUPATH_0000215	severe anemia	Severe anemia
http://purl.obolibrary.org/obo/EUPATH_0000216	slept in an insecticide treated net last night information	ITN last night
http://purl.obolibrary.org/obo/EUPATH_0000217	sum number of female Anopheles examined for sporozoites in a collection	Anopheles tested for sporozoites count
http://purl.obolibrary.org/obo/EUPATH_0000218	sum number of female Anopheles with Plasmodium sporozoites in a collection	Sporozoite-pos Anopheles count
http://purl.obolibrary.org/obo/EUPATH_0000219	indicator of enrollment timing	Timing of enrollment
http://purl.obolibrary.org/obo/EUPATH_0000256	drinking water from pipe into dwelling	Piped into dwelling
http://purl.obolibrary.org/obo/EUPATH_0000257	drinking water from pipe into yard	Piped into yard
http://purl.obolibrary.org/obo/EUPATH_0000276	parasite clearance half life	Parasite clearance half life
http://purl.obolibrary.org/obo/EUPATH_0000277	parasite clearance rate	Parasite clearance rate
http://purl.obolibrary.org/obo/EUPATH_0000278	duration of parasite clearance	Parasite clearance time
http://purl.obolibrary.org/obo/EUPATH_0000289	haplogroup	Haplogroup
http://purl.obolibrary.org/obo/EUPATH_0000290	time parasitemia started	Parasitemia start time
http://purl.obolibrary.org/obo/EUPATH_0000291	treatment outcome information	Treatment outcome
http://purl.obolibrary.org/obo/EUPATH_0000302	information on dwelling facilities	Dwelling facilities
http://purl.obolibrary.org/obo/EUPATH_0000303	information on dwelling physical characteristics	Dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000304	socioeconomic factor	Socioeconomic factors
http://purl.obolibrary.org/obo/EUPATH_0000306	human genotype information	Participant genotype
http://purl.obolibrary.org/obo/EUPATH_0000307	information on participant study details	Participant study details
http://purl.obolibrary.org/obo/EUPATH_0000308	hospitalization information	Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0000309	symptom or sign information	Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0000310	information on observation details	Observation details
http://purl.obolibrary.org/obo/EUPATH_0000317	diagnosis of disease other than malaria	Other diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000318	hospital admission information	Admitting hospital
http://purl.obolibrary.org/obo/EUPATH_0000319	date of hospital admission	Hospital admission date
http://purl.obolibrary.org/obo/EUPATH_0000320	date of hospital discharge	Hospital discharge date
http://purl.obolibrary.org/obo/EUPATH_0000321	diagnosis at patient discharge	Diagnosis at discharge
http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus related information	Anopheles funestus results
http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sensu lato related information	Anopheles gambiae sensu lato results
http://purl.obolibrary.org/obo/EUPATH_0000324	mosquito parity information	Anopheles parity
http://purl.obolibrary.org/obo/EUPATH_0000325	sporozoite testing information	Sporozoite testing
http://purl.obolibrary.org/obo/EUPATH_0000335	human waste disposal in a household	Human waste facilities
http://purl.obolibrary.org/obo/EUPATH_0000338	information on malaria diagnosis and parasite status	Malaria diagnosis and parasite status
http://purl.obolibrary.org/obo/EUPATH_0000341	vector control intervention information	Household vector intervention
http://purl.obolibrary.org/obo/EUPATH_0000342	employment information	Employment
http://purl.obolibrary.org/obo/EUPATH_0000343	domesticated animal in a human dwelling	Animals on property
http://purl.obolibrary.org/obo/EUPATH_0000344	information on when bed net last treated	Personal bednet treatment
http://purl.obolibrary.org/obo/EUPATH_0000346	number of infections with P. vivax in lifetime	Lifetime Plasmodium vivax infections count
http://purl.obolibrary.org/obo/EUPATH_0000347	number of infections with P. vivax in the last year	Plasmodium vivax infections last year count
http://purl.obolibrary.org/obo/EUPATH_0000348	number of infections with P. falciparum in lifetime	Lifetime Plasmodium falciparum infections count
http://purl.obolibrary.org/obo/EUPATH_0000349	number of infections with P. falciparum in the last year	Plasmodium falciparum infections last year count
http://purl.obolibrary.org/obo/EUPATH_0000350	days per week at primary occupation	Time spent in occupation every week
http://purl.obolibrary.org/obo/EUPATH_0000351	days per week at secondary occupation	Time spent in occupation 2 every week
http://purl.obolibrary.org/obo/EUPATH_0000355	secondary occupation	Occupation 2
http://purl.obolibrary.org/obo/EUPATH_0000358	secondary economic activity in last month	Additional job in the past month
http://purl.obolibrary.org/obo/EUPATH_0000359	occupation	Occupation
http://purl.obolibrary.org/obo/EUPATH_0000360	primary economic activity pay period	Occupation payment frequency
http://purl.obolibrary.org/obo/EUPATH_0000361	secondary economic activity pay period	Occupation 2 payment frequency
http://purl.obolibrary.org/obo/EUPATH_0000362	indicator of whether person received payment from primary economic activity	Receive payment for occupation
http://purl.obolibrary.org/obo/EUPATH_0000363	indicator of whether person received payment from secondary economic activity	Receive payment for occupation 2
http://purl.obolibrary.org/obo/EUPATH_0000364	salary of primary economic activity	Occupation salary
http://purl.obolibrary.org/obo/EUPATH_0000365	salary of secondary economic activity	Occupation 2 salary
http://purl.obolibrary.org/obo/EUPATH_0000366	hours per day at primary occupation	Time spent in occupation every day
http://purl.obolibrary.org/obo/EUPATH_0000367	hours per day at secondary occupation	Time spent in occupation 2 every day
http://purl.obolibrary.org/obo/EUPATH_0000374	marital status	Marital status
http://purl.obolibrary.org/obo/EUPATH_0000375	indicator of whether person plans to move	Plan to move
http://purl.obolibrary.org/obo/EUPATH_0000376	relationship to head of household	Relationship to household head
http://purl.obolibrary.org/obo/EUPATH_0000377	duration of residence in dwelling	Time living in dwelling
http://purl.obolibrary.org/obo/EUPATH_0000378	duration of residence in community	Time living in settlement
http://purl.obolibrary.org/obo/EUPATH_0000379	number of common areas in a dwelling	Common room count
http://purl.obolibrary.org/obo/EUPATH_0000380	covered area measured in square meter	Covered area
http://purl.obolibrary.org/obo/EUPATH_0000381	information on kitchen location	Kitchen location
http://purl.obolibrary.org/obo/EUPATH_0000383	information on whether occupant owns or pays rent on dwelling	Home ownership
http://purl.obolibrary.org/obo/EUPATH_0000387	information on travel in the last month	Traveled in last month
http://purl.obolibrary.org/obo/EUPATH_0000389	bed net material	Bednet material
http://purl.obolibrary.org/obo/EUPATH_0000390	date of last fumigation	Last fumigation date
http://purl.obolibrary.org/obo/EUPATH_0000391	information on organization responsible for treating bed nets	Bednet treater
http://purl.obolibrary.org/obo/EUPATH_0000392	information on contact with malaria	Contact with malaria
http://purl.obolibrary.org/obo/EUPATH_0000395	number of livestock	Livestock count
http://purl.obolibrary.org/obo/EUPATH_0000396	number of pets	Pet or other animal count
http://purl.obolibrary.org/obo/EUPATH_0000398	number of insecticide-treated bed nets treated less than 6 months ago	"ITN bednet count, treated <6 months ago"
http://purl.obolibrary.org/obo/EUPATH_0000399	number of insecticide-treated bed nets treated more than 6 months ago	"ITN bednet count, treated >6 months ago"
http://purl.obolibrary.org/obo/EUPATH_0000400	number of long last insecticide-treated bed nets	Long-lasting ITN bednet count
http://purl.obolibrary.org/obo/EUPATH_0000401	number of untreated bed net	Untreated bednet count
http://purl.obolibrary.org/obo/EUPATH_0000407	district of India	District in India
http://purl.obolibrary.org/obo/EUPATH_0000409	indicator of whether participant taking antimalarial drugs as advised	Took antimalarial medication as advised
http://purl.obolibrary.org/obo/EUPATH_0000410	indicator of whether participant taking antimalarial drugs in last 2 weeks	Took antimalarial medication
http://purl.obolibrary.org/obo/EUPATH_0000411	information on existing illness	Type of existing illness
http://purl.obolibrary.org/obo/EUPATH_0000412	indicator of whether participant having existing illness	Existing illness
http://purl.obolibrary.org/obo/EUPATH_0000413	fever treatment provider information	Fever treatment location
http://purl.obolibrary.org/obo/EUPATH_0000414	duration of being febrile	Fever duration
