ID	LABEL	Type	contributor	example of usage	definition	editor note	term editor	alternative label	definition source	term tracker item	ontology term requester	comment	
EUPATH:0000046	severe malaria symptom or sign information	Class			Symptom or sign information that is used for the diagnosis of severe malaria based on World Health Organization (WHO) criteria.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000048	blood smear reading as positive or negative	Class			A categorical measurement datum that indicates the presence of asexual parasites in blood cells by microscopy using a value of positive or negative.		"Person:  Jie Zheng, Chris Stoeckert"	asexual parasites present by microscopy	ICEMR protein array|Penn Group|PRISM				
EUPATH:0000051	human participant under investigation	Class			a human being who bears a participant under investigation role		Person: John Judkins	human study subject	EuPathDB				
EUPATH:0000052	VEuPathDB alternative label	Annotation property			An alternative label used in VEuPathDB project websites.								
EUPATH:0000054	subcounty of Uganda	Class			A fourth-order administrative region of Uganda.		"Person:  Jie Zheng, Chris Stoeckert"		VEuPathDB|PRISM				
EUPATH:0000058	malaria medication	Class			A medication material intended to prevent or treat malaria.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group				
EUPATH:0000059	non-malaria medication	Class			A medication material intended to prevent or treat a disease other than malaria.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group				
EUPATH:0000087	household information	Class			An information content entity is about household.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000091	date of clinical visit	Class			A time measurement datum that specifies the date of a clinical visit.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000092	asexual parasite density by microscope	Class			A scalar measurement datum that is the output of a microscopy assay on a specimen and is expressed as a ratio of asexual parasites to either the quantity of specimen or number of leukocytes within it.		"Person:  Jie Zheng, Chris Stoeckert, John Judkins"		Penn Group|PRISM				
EUPATH:0000094	household identifier	Class			A symbol that denotes a specific household.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000095	human study subject identifier	Class			A symbol that denotes a specific human participant under investigation.		"Person:  Jie Zheng, Chris Stoeckert"		ICEMR protein array|Penn Group|PRISM				
EUPATH:0000096	study participant information	Class			An information content entity which is about features of a human participant under investigation.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000097	febrile	Class			elevated temperature or subjective fever		"Person:  Jie Zheng, Chris Stoeckert"		ICEMR protein array|Penn Group|PRISM				
EUPATH:0000100	subjective fever	Class			A phenotypic abnormality of a subjective fever as reported by the study participant or their parent/guardian		"Person:  Jie Zheng, Chris Stoeckert, Grant Dorsey"		Grant Dorsey|PRISM				
EUPATH:0000104	participant under investigation	Class			an organism that is the bearer of a partipant under investigation role		Person: John Judkins	study subject	EuPathDB				
EUPATH:0000105	building material role	Class			A role that inheres in a material entity that is realized in a building process in which the material entity will become part of a structure with a roof and walls standing more or less permanently in one place.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group				
EUPATH:0000106	roof material role	Class			A building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a roof.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group				
EUPATH:0000107	wall material role	Class			A building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a wall.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group				
EUPATH:0000108	floor material role	Class			A building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a floor.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group				
EUPATH:0000114	average asexual parasite density of a participant with asymptomatic microscopic parasitemia	Class			An average value of asexual parasites counted per microliter of blood (i.e. malaria parasite density) across mulitiple clinical visits of a participant who was diagnosed with asymptomatic microscopic parasitemia.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000115	average asexual parasite density of a participant with malaria	Class			An average value of asexual parasites counted per microliter of blood (i.e. malaria parasite density) across mulitiple clinical visits of a participant who was diagnosed with malaria.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000116	average number of female Anopheles per night	Class			An average value of female Anopheles mosquitoes collected across multiple collections (e.g. from one or more households on a number of nights).		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000117	average number of female Anopheles tested for sporozoite	Class			An average value of Anopheles mosquitoes tested for sporozoites across multiple collections (e.g. from a given household across CDC light trap collections) in a given period.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000118	average number of sporozoite-positive female Anopheles	Class			An average value of sporozoite positive female Anopheles mosquitoes across multiple collections (e.g. from a given household over a number of nights of collections).		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000119	average percent of female Anopheles with Plasmodium sporozoites	Class			An average percentage value of female Anopheles mosquitoes tested as sporozoites-positive in all female mosquitoes tested for sporozoites across multiple collections.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000121	number of clinical visits	Class			A data item of the total number of clinical visits by a participant in an investigation.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000122	number of clinical visits resulting in a malaria diagnosis	Class			A data item of the number of clinical visits during which the participant was diagnosed with malaria		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000123	number of clinical visits resulting in an asymptomatic microscopic parasitemia diagnosis	Class			A data item of the number of clinical visits during which the participant was diagnosed with asymptomatic microscopic parasitemia.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000128	peripheral blood mononuclear cell specimen	Class			"A processed specimen that is extracted from whole blood using gradient centrifugation that separates the blood into a layer of peripheral blood mononuclear cell under the top layer of plasma. It contains lymphocytes, monocytes or macrophages that are critical components in the immune system."		"Person:  Jie Zheng, Chris Stoeckert"	PBMC specimen	http://en.wikipedia.org/wiki/Peripheral_blood_mononuclear_cell				
EUPATH:0000134	number of Anopheles collections	Class			A count of Anopheles mosquitoes collections performed (e.g. from a given household) in a given period.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000135	sum number of female Anopheles in a collection	Class			A sum value for all species of female Anopheles mosquitoes in a given collections.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000136	sum number of female Anopheles funestus in a collection	Class			A sum value for all female Anopheles funestus mosquitoes in a given collections.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000137	sum number of female Anopheles gambiae in a collection	Class			A sum value for all female Anopheles gambiae mosquitoes in a given collections.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000138	duration of observation of study participant	Class			A time datum for the duration of a patients participation in an investigation.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000139	average number of clinical visits per year	Class			An average value for the number of clinical visits of a patient based on calendar years		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000140	average number of clinical visits with asymptomatic microscopic parasitemia diagnosis per year	Class			An average value for the number of clinical visits of a patient with asymptomatic microscopic parasitemia based on calendar years.		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000141	average number of clinical visits with malaria diagnosis per year	Class			An average value for the number of clinical visits of a patient with malaria based on calendar years		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000143	categorical household wealth index	Class			"A data item about a household's cumulative living standard represented in a categorical datum. The wealth index is calculated using data on a household's ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities."		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		http://dhsprogram.com/topics/Wealth-Index.cfm|PRISM				
EUPATH:0000144	household asset information	Class			"An information content entity about items that a household owns such as a car, funiture, etc."		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000150	date of death	Class			A time measurement datum specifying the date of death		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000151	date of participant first enrolled in a study	Class			A time measurement datum that specified the date of participant first enrolled in a study		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000152	date of participant last seen in a study	Class			A time measurement datum that specified the date of participant last seen in a study		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000154	duration of abdominal pain	Class			A time measurement datum that measures the duration of having abdominal pain.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000155	duration of anorexia	Class			A time measurement datum that measures the duration of having anorexia.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000156	duration of cough	Class			A time measurement datum that measures the duration of having a cough.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000157	duration of diarrhea	Class			A time measurement datum that measures the duration of having diarrhea.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000158	duration of fatigue	Class			A time measurement datum that measures the duration of having fatigue.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000159	duration of headache	Class			A time measurement datum that measures the duration of having a headache.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000160	duration of jaundice	Class			A time measurement datum that measures the duration of having jaundice.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000161	duration of joint pains	Class			A time measurement datum that measures the duration of having joint pains.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000162	duration of muscle aches	Class			A time measurement datum that measures the duration of having muscle aches.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000163	duration of seizures	Class			A time measurement datum that measures the duration of having seizures.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000164	duration of subjective fever	Class			A time measurement datum that measures the duration of having subjective fever.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000165	duration of vomiting	Class			A time measurement datum that measures the duration of having vomiting.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000166	indicator of household having animal-drawn cart	Class			A household asset information indicating whether a member of a household has or owns an animal-drawn cart.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000167	indicator of household having bank account	Class			A household asset information indicating whether a member of a household has a bank account.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000170	indicator of household having boat without a motor	Class			A household asset information indicating whether a member of a household has or owns a boat without a motor.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000171	indicator of household having car	Class			A household asset information indicating whether a member of a household has or owns a car or truck.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000179	indicator of household having motorboat	Class			A household asset information indicating whether a member of a household has or owns a boat with a motor.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000186	indicator of household having watch	Class			A household asset information indicating whether a member of a household has or owns a watch.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000191	duration of study participation from enrollment to current visit	Class			A time measurement datum of the interval from participant enrollment in a study until the current visit.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000192	number of fed female Anopheles funestus in a collection	Class			A measurement datum of the number of female Anopheles funestus with a recent blood meal in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000193	number of fed female Anopheles gambiae in a collection	Class			A measurement datum of the number of female Anopheles gambiae with a recent blood meal in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000194	number of female Anopheles dissected for parity in a collection	Class			A measurement datum of the number of female Anopheles dissected for parity in a given collection.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000195	number of female null parous Anopheles in a collection	Class			A measurement datum of the number of female Anopheles that have never layed eggs in a given collection.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000196	number of female parous Anopheles in a collection	Class			A measurement datum of the number of female Anopheles that have layed eggs before or are pregnant in a given collection.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000197	number of gravid or semi-gravid Anopheles funestus in a collection	Class			A measurement datum of the number of gravid or semi-gravid female Anopheles funestus in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000198	number of gravid or semi-gravid female Anopheles gambiae in a collection	Class			A measurement datum of the number of gravid or semi-gravid female Anopheles gambiae in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000200	number of non-gambiae or funestus female Anopheles species in a collection	Class			A measurement datum of the number of female Anopheles that are not gambiae nor funestus in a given collection.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000201	number of sleeping places in dwelling with a household	Class			A data item of the number of sleeping spaces in a dwelling.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000202	number of unassessable Anopheles funestus in a collection	Class			A measurement datum of the number of Anopheles funestus that could not be accessed in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000203	number of unassessable Anopheles gambiae in a collection	Class			A measurement datum of the number of Anopheles gambiae that could not be assessed in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000204	number of unfed female Anopheles funestus in a collection	Class			A measurement datum of the number of female Anopheles funestus without a recent blood meal in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000205	number of unfed female Anopheles gambiae in a collection	Class			A measurement datum of the number of female Anopheles gambiae without a recent blood meal in a given collection		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000208	reason for participant withdrawal	Class			An information content entity indicating the reason why a participant withdrew from a study.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000215	severe anemia	Class			An anemia with hemoglobin levels less than 5 gm/dL.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		ICEMR protein array|Penn Group|PRISM				
EUPATH:0000216	slept in an insecticide treated net last night information	Class			An information content entity indicating whether a person slept in an insecticide treated net the previous night.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000217	sum number of female Anopheles examined for sporozoites in a collection	Class			A sum value for all female Anopheles examined for sporozoites in a given collection.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000218	sum number of female Anopheles with Plasmodium sporozoites in a collection	Class			A sum value for all female Anopheles with Plasmodium sporozoites in a given collection.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		Penn Group|PRISM				
EUPATH:0000219	indicator of enrollment timing	Class			An information content entity indicating whether enrollment of a human study subject occurred at the beginning of a study or during the study.		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey, John Judkins"		Penn Group|PRISM				
EUPATH:0000256	drinking water from pipe into dwelling	Class			drinking water accessed through a plumbing fixture located inside a human dwelling		Person: John Judkins		EuPathDB				
EUPATH:0000257	drinking water from pipe into yard	Class			drinking water obtained through a plumbing fixture located in the yard of a human dwelling		Person: John Judkins		EuPathDB				
EUPATH:0000274	display order	Annotation property			An annotation property used to specify the order of terms displayed on a website.			displayOrder					
EUPATH:0000276	parasite clearance half life	Class			half life datum (t 1/2) for cleaning parasite			clearance half life	EuPathDB				
EUPATH:0000277	parasite clearance rate	Class			a rate measurement datum that represents the number of parasite organisms removed from the bearer of a host role by means of the biological processes of the bearer of the host role		Person: John Judkins	clearance rate	EuPathDB				
EUPATH:0000278	duration of parasite clearance	Class			"a time measurement datum that is the result of measuring the time it takes for the biological processes of the bearer of a host role to remove parasite organisms within it, until such time as the organisms cannot be detected"		Person: John Judkins	clearance time	EuPathDB				
EUPATH:0000289	haplogroup	Class			A population of people who share a common ancestor on the patrilineal or matrilineal line.								
EUPATH:0000290	time parasitemia started	Class			a time measurement datum that represents the beginning of the first process in which a parasitemia is realized		Person: John Judkins		EuPathDB				
EUPATH:0000291	treatment outcome information	Class			"an information content entity that describes the success, failure, or indeterminacy of a treatment"		Person: John Judkins	treatment outcome	EuPathDB				
EUPATH:0000302	information on dwelling facilities	Class			"an information content entity that is about a process in which a human being occupying a dwelling participates. It either specifies the bearer of the function that is realized in the process, or it specifies that the process does not occur in the dwelling or its yard."		Person: John Judkins		EuPathDB				
EUPATH:0000303	information on dwelling physical characteristics	Class			a information content entity that is about a part of a dwelling		Person: John Judkins		EuPathDB				
EUPATH:0000304	socioeconomic factor	Class			"an information content entity that is about a household and is an estimator of capabilities of household members to participate in processes that maintain their health, social status, and economic freedom"		Person: John Judkins		EuPathDB				
EUPATH:0000305	aggregated clinical visit information	Class			a data item that is about an investigation and is the specified output of a data transformation that has only clinical visit data as input		Person: John Judkins		EuPathDB				
EUPATH:0000306	human genotype information	Class			a genotype information that is about the genetic material of a human being		Person: John Judkins		EuPathDB				
EUPATH:0000307	information on participant study details	Class			an information content entity that is about a part of a study design execution that is part of an investigation under which a human being is a participant		Person: John Judkins		EuPathDB				
EUPATH:0000308	hospitalization information	Class			an information content entity that is about a part of a health care encounter that occurs in a hospital facility		Person: John Judkins		EuPathDB|ICEMR protein array				
EUPATH:0000309	symptom or sign information	Class			an information content entity that is about a sign or symptom of a patient	"This should stay consistent w/OGMS's definitions, so this definition may need to be changed if OGMS changes their definitions of sign and symptom to information content entities."	Person: John Judkins		EuPathDB|ICEMR protein array				
EUPATH:0000310	information on observation details	Class			an information content entity that is about a clinical visit		Person: John Judkins		EuPathDB				
EUPATH:0000311	clinical visit type information	Class			an information content entity that specifies whether a clinical visit is scheduled or unscheduled		Person: John Judkins		EuPathDB				
EUPATH:0000312	aggregated entomological data item	Class			an entomological data item that results from either (a) counting insect collections from multiple catches of live specimens or (b) an averaging data transformation that has single catch entomological measurement data as input		Person: John Judkins	aggregated entomological measurement data	EuPathDB				
EUPATH:0000318	hospital admission information	Class			an information content entity that is about a participant under investigation and specifies the hospital admitting the participant		Person: John Judkins		EuPathDB				
EUPATH:0000319	date of hospital admission	Class			a time measurement datum that is about a human being who bears a patient role and specifies the date of the patient's admission to a hospital		Person: John Judkins		EuPathDB				
EUPATH:0000320	date of hospital discharge	Class			a time measurement datum that is about a human being who bears a patient role and specifies the date of the patient's discharge from a hospital		Person: John Judkins		EuPathDB				
EUPATH:0000322	Anopheles funestus related information	Class			an information content entity that is about a collection of Anopheles funestus		Person: John Judkins		EuPathDB				
EUPATH:0000323	Anopheles gambiae sensu lato related information	Class			an information content entity that is about a collection of Anopheles gambiae sensu lato		Person: John Judkins		"EuPathDB, Wikipedia 'Sensu' entry"				
EUPATH:0000324	mosquito parity information	Class			an information content entity that is about a number of mosquitos that have given birth		Person: John Judkins		EuPathDB				
EUPATH:0000325	sporozoite testing information	Class			an entomological data item that is the specified output of an analyte assay to determine whether a sporozoite is present in any insect in a collection of insects		Person: John Judkins		EuPathDB				
EUPATH:0000326	aggregated sporozoite testing information	Class			a data item that is the specified output of a data transformation that has only sporozoite testing information as input		Person: John Judkins		EuPathDB				
EUPATH:0000335	human waste disposal in a household	Class			A human waste disposal in a household.								
EUPATH:0000336	number of non-scheduled visits	Class			A count of the total number of non-scheduled clinical visits in an investigation.								
EUPATH:0000337	number of scheduled visits	Class			A count of the total number of scheduled clinical visits in an investigation.								
EUPATH:0000338	information on malaria diagnosis and parasite status	Class			An information content entity that is about malaria diagnosis and parasite status testing by blood smear or LAMP.	"Values for this class:

Symptomatic malaria
Blood smear positive, no malaria
Blood smear negative, LAMP positive
Blood smear negative, LAMP negative
Blood smear negative, LAMP not done
Blood smear indicated but not done
Blood smear not indicated"	"Person: Jie Zheng, Grant Dorsey, John Judkins"						
EUPATH:0000341	vector control intervention information	Class			An information content entity that is about vector control intervention towards interruption of transmission of infectious diseases.								
EUPATH:0000342	employment information	Class			An information content entity that is about employment.								
EUPATH:0000343	domesticated animal in a human dwelling	Class			An organism that raised by people and lives in a human dwelling.								
EUPATH:0000344	information on when bed net last treated	Class			An information content entity that is about when the bed net is last treated.								
EUPATH:0000346	number of infections with P. vivax in lifetime	Class			A count of the total times of a person who infected with P. vivax in his lifetime.		"Person: Chris Stoeckert, Jie Zheng"						
EUPATH:0000347	number of infections with P. vivax in the last year	Class			A count of the total times of a person who infected with P. vivax last year.		"Person: Chris Stoeckert, Jie Zheng"						
EUPATH:0000348	number of infections with P. falciparum in lifetime	Class			A count of the total times of a person who infected with P. falciparum in his lifetime.		"Person: Chris Stoeckert, Jie Zheng"						
EUPATH:0000349	number of infections with P. falciparum in the last year	Class			A count of the total times of a person who infected with P. falciparum last year.		"Person: Chris Stoeckert, Jie Zheng"						
EUPATH:0000350	days per week at primary occupation	Class			A measurement datum of days per week spent in one's primary occupation.								
EUPATH:0000351	days per week at secondary occupation	Class			A measurement datum of days per week spent in one's secondary occupation.								
EUPATH:0000355	secondary occupation	Class			An occupation that a person is not involved in primarily.		Person: John Judkins		VEuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/289			
EUPATH:0000358	secondary economic activity in last month	Class			An information content entity about secondary economic activity a person participates in the last month.								
EUPATH:0000359	occupation	Class			An information content entity that is about an activity that realizes a social role and is often performed for payment.								
EUPATH:0000360	primary economic activity pay period	Class			A time measurement datum about the pay period of primary economic activity.								
EUPATH:0000361	secondary economic activity pay period	Class			A time measurement datum about the pay period of secondary economic activity.								
EUPATH:0000362	indicator of whether person received payment from primary economic activity	Class			An information content entity about whether a person received payment from primary economic activity.		 Jie Zheng|Chris Stoeckert 			https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0000363	indicator of whether person received payment from secondary economic activity	Class			An information content entity about whether a person received payment from secondary economic activity.		 Jie Zheng|Chris Stoeckert 			https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0000364	salary of primary economic activity	Class			A data item of salary of primary job.								
EUPATH:0000365	salary of secondary economic activity	Class			A data item of salary of other job.								
EUPATH:0000366	hours per day at primary occupation	Class			A measurement datum of hours in one's primary occupation per day spent in that occupation.								
EUPATH:0000367	hours per day at secondary occupation	Class			A measurement datum of hours in one's secondary occupation per day spent in that occupation.								
