ontology ID	entity type	label	alternative term	definition	definition source	example of usage	term editor	editor note	term tracker item	parent class	obsolete	obsolescence reason	replacement term	comment	Source	inSubset														
EUPATH:0000037	class	obsolete presence of bacteria in the blood		A phenotypic abnormality of the presence of bacteria in the blood.	http://en.wikipedia.org/wiki/Bacteremia			not in use; will replace w/Bacteremia from HP if equivalent term needed	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/70	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000038	class	obsolete diagnosis of uncomplicated malaria		A diagnosis of malaria without evidence of complicated malaria.	Grant Dorsey		"Person:  Jie Zheng, Chris Stoeckert, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000039	class	obsolete presence of virus in the blood		A phenotypic abnormality of the presence of a virus in the blood. It is a medical condition where viruses enter the bloodstream and hence have access to the rest of the body.	http://en.wikipedia.org/wiki/Viremia			not in use; will replace w/Viremia from HP if equivalent term needed	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/70	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000041	class	obsolete diagnosis of complicated malaria with high parasite density						"was ICEMR PRISM observation, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000042	class	obsolete diagnoses of complicated malaria with danger signs		"A diagnosis of complicated malaria with signs and symptoms, such as inability to sit up or stand, vomiting everything, unable to breastfeed or drink, lethargy, which are not listed as WHO criteria used to diagnose severe malaria."	Grant Dorsey		"Person:  Jie Zheng, Chris Stoeckert, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000044	object property	obsolete manifestation of									true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000045	class	obsolete severe malaria		"a malaria characterized by serious organ failures or abnormalities including cerebral malaria, severe anemia, generalized convulsions, hypoglycemia, respiratory distress, fluid and electrolyte disturbances, acute renal failure, ARDS, circulatory collapse, abnormal bleeding, and jaundice."	Centers for Disease Control and Prevention		Person: John Judkins			Obsolete Class	true																			
EUPATH:0000047	class	obsolete hemoglobin level		A scalar measurement datum about the level of hemoglobin in the blood.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/200	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/CMO_0000026		PRISM	ICEMR protein array														
EUPATH:0000049	class	obsolete clinical visit		A planned process in which a patient is seen by a medical practitioner.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/56	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OGMS_0000097		PRISM															
EUPATH:0000050	class	obsolete routine clinical visit		A clinical visit that is primarily for a regular examination.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000052	annotation property	obsolete EuPathDB alternative term		Label used in EuPathDB					https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/166		true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000053	class	obsolete dwelling ventilation		A material entity whichis part of a dwelling for providing fresh air to the dwelling.						Obsolete Class	true				PRISM															
EUPATH:0000055	class	obsolete CDC light trap assay						"was ICEMR PRISM, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000056	class	obsolete medication role		"A role borne by some material entity which can be delivered/administrated into some organisms and the role is realized during clinical treatment process aiming to treat symptoms, signs or diagnosed disease."	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OGMS_0000148		  															
EUPATH:0000057	class	obsolete medication material		A material entity that is bearer of a medication role.	Penn Group	quinine used in malaria medication | blood used in transfusion for replacement blood lost during surgery or due to a serious injury.	"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBIB_0000029																	
EUPATH:0000060	object property	obsolete may treat		A relation between a medication material and a disease or symptom that it may treat.					https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/121		true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000061	object property	obsolete has active ingredient		A relation between a drug product and (one of) its active ingredient.							true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/RO_0002248																	
EUPATH:0000062	class	obsolete quinine drug product	quinine	"A drug product that has the chemical ingredient quinine and has antipyretic (fever-reducing), antimalarial, analgesic (painkilling), and anti-inflammatory properties."			"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000063	class	obsolete artemether-lumefantrine drug product	coartem | artemether-lumefantrine	"A drug product that is the of combination artemether/lumefantrine (trade names Coartem and Riamet, Falcynate-LF). It is generally used for the treatment of acute uncomplicated Plasmodium falciparum malaria."	PRISM | http://en.wikipedia.org/wiki/Artemether/lumefantrine		"Person:  Jie Zheng, Chris Stoeckert"		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/162	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/DRON_00032533																	
EUPATH:0000064	class	obsolete clinical characteristics		A dependent continuant which is either disease or phenotypic abnormality.					https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/72	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000088	class	obsolete diagnosis of uncomplicated malaria in the 1st trimester of pregnancy		A diagnosis of uncomplicated malaria that occurs with the first trimester of pregnancy.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000089	class	obsolete diagnosis of asymptomatic microscopic parasitemia		A diagnosis based on presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000093	class	obsolete dwelling information		An information content entity about dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000098	class	obsolete ventilation function		A function to provide fresh air to a closed space.						Obsolete Class	true																			
EUPATH:0000099	class	obsolete dwelling facility		"A material entity in a dwelling that is designed, built, installed, selected, etc., to serve a specific function affording a convenience or service to people who are living in the dwelling."	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000101	class	obsolete elevated temperature		a febrile quality of an abnormally high temperature	EuPathDB		Person: John Judkins			Obsolete Class	true																			
EUPATH:0000102	class	obsolete temperature measurement datum		A scalar measurement datum that is about temperature.						Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0003079		  															
EUPATH:0000103	class	obsolete dwelling ventilation function						"was in ICEMR, no longer used"	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/166	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103		A ventilation function to provide fresh air to a dwelling.																
EUPATH:0000109	class	obsolete dwelling facility role		A role that inheres in a material entity that is realized in a process that provides a convenience or service to people who are living in a dwelling.						Obsolete Class	true																			
EUPATH:0000110	class	obsolete organismal body temperature measurement datum		A temperature measurement datum that is about an organism.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0003073		PRISM															
EUPATH:0000111	class	obsolete floor brick		"A processed material shaped a small rectangular block typically made of clay mixed with sand and fired in a kiln or baked by the sun, used in building floor construction."	http://www.thefreedictionary.com/brick					Obsolete Class	true																			
EUPATH:0000112	annotation property	obsolete EuPathDB definition		definition shown on EuPathDB website					https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/166		true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000113	class	obsolete age since birth at time of visit		An age since birth measurement datum at the time of a clinical visit.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0003076		PRISM	ICEMR protein array														
EUPATH:0000120	class	obsolete age since birth at time of enrollment		An age since birth measurement datum at the time of subject enrollment.	Penn Group		Person: Jie Zheng			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0003075		PRISM															
EUPATH:0000124	class	obsolete number of non-routine clinical visits		A data item of the total number of clinical visits which were not sheduled routine visits.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000125	class	obsolete number of routine clinical visits		A data item of the total number of clinical visits which were not sheduled routine visits.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000126	class	obsolete sample available information		An information content entity that is about the type of sample/specimen collected during a clinical visit.			"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000127	class	obsolete blood specimen on filter paper	Filter paper sample	A blood specimen that is located on a filter paper.	Penn Group		Jie Zheng | Chris Stoeckert			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0003055																	
EUPATH:0000129	class	obsolete red blood cell specimen	erythrocyte specimen | RBC specimen	A processed specimen consisting of red blood cells isolated from whole blood by centrifugation.	http://www.ruf.rice.edu/~bioslabs/studies/sds-page/gellab1.html		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_2000016		  															
EUPATH:0000130	class	obsolete average number of Plasmodium parasite-positive female Anopheles		An average value for female Anopheles mosquitoes tested positive for carrying Plasmodium parasites across multiple collections (e.g. from a given household across CDC light trap collections) in a given period.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000131	class	obsolete average number of female Anopheles tested for Plasmodium parasite		An average value for female Anopheles mosquitoes tested for carrying Plasmodium parasites across multiple collections (e.g. from a given household across CDC light trap collections) in a given period.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000132	class	obsolete average percent of Plasmodium parasite-positive female Anopheles		An average percentage value for female Anopheles mosquitoes carrying Plasmodium parasites in all female mosquitoes tested for carrying Plasmodium parasites across multiple collections.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000142	class	obsolete routine clinical visit date		A clinical visit date that specifies the date/time period of a routine clinical visit.	Penn Group		Person: Jie Zheng			Obsolete Class	true				PRISM															
EUPATH:0000145	class	obsolete antimalarial therapy given outside the study since last seen information		An information content entity indicating whether a person was given antimalarial therapy outside the study since last seen as part of the study.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000147	class	obsolete cause of participant death		An information content entity indicating the cause of death for a participant in the study.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000148	class	obsolete clinical visit when sick		A clinical visit occuring because of a sickness.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000149	class	obsolete covered pit latrine without slab		A covered pit latrine that does not have a latrine slab.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000153	class	obsolete days since a clinical visit with a malaria diagnosis		A time measurement datum measuring the number of days since a clinical visit took place which resulted in a malaria diagnosis.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000168	class	obsolete household bed asset		A household asset information indicating whether a household has a bed.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000169	class	obsolete household bicycle asset		A household asset information indicating whether a member of a household has or owns a bicycle.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000172	class	obsolete household cassette player asset		A household asset information indicating whether a household has a cassette player.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000173	class	obsolete household chair asset		A household asset information indicating whether a household has a chair.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000174	class	obsolete household clock asset		A household asset information indicating whether a household has a clock.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000175	class	obsolete household cupboard asset		A household asset information indicating whether a household has a cupboard.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000176	class	obsolete household electricity asset		A household asset information indicating whether a household has electricity in their dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000177	class	obsolete household fixed phone asset		A household asset information indicating whether a household has a land line or fixed location phone.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000178	class	obsolete household mobile phone asset		A household asset information indicating whether a household has a mobile phone.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000180	class	obsolete household motorcycle or scooter asset		A household asset information indicating whether a member of a household has or owns a motorcycle or motor scooter.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000181	class	obsolete household radio asset		A household asset information indicating whether a household has a radio.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000182	class	obsolete household refrigerator asset		A household asset information indicating whether a household has a refrigerator.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000183	class	obsolete household sofa asset		A household asset information indicating whether a household has a sofa.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000184	class	obsolete household table asset		A household asset information indicating whether a household has a table.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000185	class	obsolete household television asset		A household asset information indicating whether a household has a television.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000187	class	obsolete incident of malaria episode information		An information content entity indicating whether a malaria episode occurred	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000188	class	obsolete location of clinical visit		A material entity where a clinical visit took place.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OMRSE_00000102		PRISM															
EUPATH:0000189	class	obsolete location of death		A material entity where a death occurred.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/119	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/EUPATH_0010067		PRISM															
EUPATH:0000190	class	obsolete medical care outside the study clinic since last seen information		An information content entity indicating whether medical care occurred outside the study clinic since last seen as part of the study.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000199	class	obsolete number of insecticide treated mosquito net(s) per person		An average value for the number of insecticide treated mosquito net(s) per person.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000206	class	obsolete plasma sample lost information		An information content entity that indicates whether a plasma sample is lost or not.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000209	class	obsolete redraw of a symptom after clinical visit information		An information content entity that indicates whether a redraw of a symptom occurred after a clinical visit.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000210	class	obsolete routine clinical visit for T-cell study		A routine clinical visit in which a blood specimen was collected for a T-cell study.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000211	class	obsolete routine clinical visit with finger prick		"A routine clinical visit in which a blood specimen was collected by finger prick and sent for lab testing (e.g., blood smear, hemoglobin level measurement)."	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000212	class	obsolete routine clinical visit with venipuncture		"A routine clinical visit in which a blood specimen was collected using venipuncture and sent for lab testing (e.g., blood smear, hemoglobin level measurement)."	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000213	class	obsolete routine clinical visit without any routine assessment done		A routine clinical visit in which no routine assessment was done during the visit.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000214	class	obsolete screened air brick		An air brick with a screen that can prevent some insects get in the dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000220	class	obsolete uncovered pit latrine with slab		A pit latrine that is not sheltered by an outhouse but has a latrine slab.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000221	class	obsolete uncovered pit latrine without slab		A pit latrine that is not sheltered by an outhouse and does not have a latrine slab.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000222	class	obsolete unscreened air brick		An air brick without a screen to prevent insects from enetering the dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"			Obsolete Class	true				PRISM															
EUPATH:0000223	individual	obsolete bottom household wealth index		A categorical household wealth index representing the bottom third of values for the numerical household wealth index.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000224	individual	obsolete middle household wealth index		A categorical household wealth index representing the middle third of values for the numerical household wealth index.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000225	individual	obsolete top household wealth index		A categorical household wealth index representing the top third of values for the numerical household wealth index.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000226	individual	obsolete no airbrick		A information content entity created to indicate the lack of air bricks in the dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000227	individual	obsolete record of eating in restaurants		A information content entity indicating that the household eats in restaurants.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000228	individual	obsolete record of no cooking at home		A information content entity indicating that the household does not cook in the dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000229	individual	obsolete record of no toilet facility		An information content entity indicates no toilet facility in the dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000230	individual	obsolete record of using neighbours' toilet		An information content entity indicating that a household uses a neighbours' toilet facility.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000231	individual	obsolete time of screening during initial enrollment		A time of screening occurring during the initial human subject enrollment period.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000232	individual	obsolete time of screenng after initial enrollment		A time of screening occuring after the initial enrollment period had ended and the study had begun.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey"				true				PRISM															
EUPATH:0000233	individual	obsolete unknown withdrawal reason									true				PRISM															
EUPATH:0000234	individual	obsolete withdrew due to death									true				PRISM															
EUPATH:0000235	individual	obsolete inability to comply with protocol									true				PRISM															
EUPATH:0000236	individual	obsolete moved out of area									true				PRISM															
EUPATH:0000237	individual	obsolete reached 11 years of age									true				PRISM															
EUPATH:0000238	individual	obsolete unable to be located for over 120 days									true				PRISM															
EUPATH:0000239	individual	obsolete withdrawal of all children under care									true				PRISM															
EUPATH:0000240	individual	obsolete withdrawal of informed consent									true				PRISM															
EUPATH:0000241	individual	obsolete unknown cause of death									true				PRISM															
EUPATH:0000242	individual	obsolete complications of HIV									true				PRISM															
EUPATH:0000243	individual	obsolete diarrheal illness									true				PRISM															
EUPATH:0000244	individual	obsolete suicide									true				PRISM															
EUPATH:0000245	individual	obsolete Bwindi Hospital									true				PRISM															
EUPATH:0000246	individual	obsolete Jinja Hospital									true				PRISM															
EUPATH:0000247	individual	obsolete Kauka Health Centre									true				PRISM															
EUPATH:0000248	individual	obsolete Kihihi Health Centre IV									true				PRISM															
EUPATH:0000249	individual	obsolete Nagongera Health Centre IV									true				PRISM															
EUPATH:0000250	individual	obsolete Tororo District Hospital									true				PRISM															
EUPATH:0000251	individual	obsolete record of unknown death location									true				PRISM															
EUPATH:0000252	class	obsolete Muscle aches		Pain perceived to originate in the muscle.	PRISM					Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/HP_0003326		PRISM															
EUPATH:0000253	class	obsolete solar light source		A light source that light is produced from solar energy.			"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0002902																	
EUPATH:0000254	class	obsolete drinking water from open public well		drinking water that is obtained from a publicly accessible water well without a constructed barrier built around it to limit movement of waste or runoff into it	VEuPathDB		Person: John Judkins			Obsolete Class	true																			
EUPATH:0000255	class	obsolete drinking water from open well in yard		drinking water that is obtained from a water well with a constructed barrier built around it to limit movement of waste or runoff into the well and the well is located in the yard of a dwelling	VEuPathDB		Person: John Judkins			Obsolete Class	true																			
EUPATH:0000258	class	obsolete drinking water from protected public well						"was ClinEpi household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103			  															
EUPATH:0000258	class	obsolete drinking water from protected public well						"was ClinEpi household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000259	class	obsolete drinking water from freshwater spring						"from ClinEpi household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103			  															
EUPATH:0000259	class	obsolete drinking water from freshwater spring						"from ClinEpi household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000260	class	obsolete drinking water from protected well in yard						"ClinEpi household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000261	class	obsolete drinking water from unprotected freshwater spring		drinking water that is obtained from a freshwater spring without a constructed barrier built around it that would limit movement of waste or runoff into it	VEuPathDB		Person: John Judkins			Obsolete Class	true																			
