?id	label	definition	term editor	logical type	parent	antibody assay	assay
EUPATH:0036309	Human poliovirus 1 strain Sabin in induced sputum by lymphocyte supernatant assay datum	An antibody titer that is the output of a lymphocyte supernatant assay and is used to determine the presence of Human poliovirus 1 strain Sabin in the specimen.	Person: John Judkins	subclass	antibody titer	Human poliovirus 1 strain Sabin	lymphocyte supernatant assay
EUPATH:0036310	Human poliovirus 2 strain Sabin in induced sputum by lymphocyte supernatant assay datum	An antibody titer that is the output of a lymphocyte supernatant assay and is used to determine the presence of Human poliovirus 2 strain Sabin in the specimen.	Person: John Judkins	subclass	antibody titer	Human poliovirus 2 strain Sabin	lymphocyte supernatant assay
EUPATH:0036311	Human poliovirus 3 strain Sabin in induced sputum by lymphocyte supernatant assay datum	An antibody titer that is the output of a lymphocyte supernatant assay and is used to determine the presence of Human poliovirus 3 strain Sabin in the specimen.	Person: John Judkins	subclass	antibody titer	Human poliovirus 3 strain Sabin	lymphocyte supernatant assay
EUPATH:0036334	 in induced sputum by lymphocyte supernatant assay datum	An antibody titer that is the output of a lymphocyte supernatant assay and is used to determine the presence of  in the specimen.	Person: John Judkins	subclass	antibody titer		lymphocyte supernatant assay
EUPATH:0036443	Adjusted polio serotype 1 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Adjusted polio serotype 1 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Adjusted polio serotype 1 titer	96-well neutralization assay
EUPATH:0036444	Adjusted polio serotype 2 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Adjusted polio serotype 2 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Adjusted polio serotype 2 titer	96-well neutralization assay
EUPATH:0036445	Adjusted polio serotype 3 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Adjusted polio serotype 3 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Adjusted polio serotype 3 titer	96-well neutralization assay
EUPATH:0011290	Polio serotype 1 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 1 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 1 titer	96-well neutralization assay
EUPATH:0036527	Polio serotype 1 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 1 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 1 titer	96-well neutralization assay
EUPATH:0011518	Polio serotype 1 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 1 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 1 titer	96-well neutralization assay
EUPATH:0011291	Polio serotype 2 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 2 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 2 titer	96-well neutralization assay
EUPATH:0036528	Polio serotype 2 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 2 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 2 titer	96-well neutralization assay
EUPATH:0011474	Polio serotype 2 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 2 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 2 titer	96-well neutralization assay
EUPATH:0036529	Polio serotype 3 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 3 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 3 titer	96-well neutralization assay
EUPATH:0011292	Polio serotype 3 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 3 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 3 titer	96-well neutralization assay
EUPATH:0011519	Polio serotype 3 titer in induced sputum by 96-well neutralization assay datum	An antibody titer that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 3 titer in the specimen.	Person: John Judkins	subclass	antibody titer	Polio serotype 3 titer	96-well neutralization assay
